"","Differential 5 - 6 Last (mV)","Differential 7 - 8 Last (mV)","Differential 9 - 10 Last (mV)"
"1674051619","-60.39","12.78","-15.78"
"1674051620","-60.28","12.77","-15.77"
"1674051621","-60.02","12.72","-15.73"
"1674051622","-59.81","12.69","-15.71"
"1674051623","-59.57","12.65","-15.67"
"1674051624","-59.34","12.61","-15.64"
"1674051625","-59.15","12.58","-15.62"
"1674051626","-58.93","12.54","-15.59"
"1674051627","-58.76","12.51","-15.56"
"1674051628","-58.55","12.49","-15.52"
"1674051629","-58.38","12.43","-15.51"
"1674051630","-58.19","12.40","-15.48"
"1674051631","-58.04","12.37","-15.45"
"1674051632","-57.86","12.36","-15.40"
"1674051633","-57.71","12.29","-15.41"
"1674051634","-57.54","12.26","-15.40"
"1674051635","-57.40","12.24","-15.36"
"1674051636","-57.24","12.21","-15.32"
"1674051637","-57.10","12.18","-15.29"
"1674051638","-56.95","12.15","-15.25"
"1674051639","-56.82","12.12","-15.23"
"1674051640","-56.67","12.09","-15.20"
"1674051641","-56.55","12.06","-15.17"
"1674051642","-56.41","12.03","-15.14"
"1674051643","-56.27","11.98","-15.13"
"1674051644","-56.16","11.96","-15.10"
"1674051645","-56.04","11.94","-15.08"
"1674051646","-55.93","11.90","-15.08"
"1674051647","-55.81","11.88","-15.01"
"1674051648","-55.71","11.86","-15.00"
"1674051649","-55.60","11.83","-14.97"
"1674051650","-55.51","11.80","-14.94"
"1674051651","-55.40","11.72","-15.05"
"1674051652","-55.33","11.84","-14.77"
"1674051653","-55.20","11.77","-14.81"
"1674051654","-55.11","11.69","-14.84"
"1674051655","-55.01","11.68","-14.81"
"1674051656","-54.92","11.65","-14.79"
"1674051657","-54.83","11.62","-14.76"
"1674051658","-54.75","11.61","-14.74"
"1674051659","-54.64","11.55","-14.74"
"1674051660","-54.57","11.55","-14.69"
"1674051661","-54.47","11.53","-14.66"
"1674051662","-54.40","11.50","-14.64"
"1674051663","-54.30","11.48","-14.62"
"1674051664","-54.21","11.45","-14.59"
"1674051665","-54.14","11.43","-14.57"
"1674051666","-54.05","11.40","-14.55"
"1674051667","-53.98","11.39","-14.53"
"1674051668","-53.89","11.36","-14.51"
"1674051669","-53.82","11.36","-14.47"
"1674051670","-53.74","11.30","-14.49"
"1674051671","-53.67","11.30","-14.45"
"1674051672","-53.59","11.27","-14.43"
"1674051673","-53.52","11.25","-14.41"
"1674051674","-53.44","11.23","-14.39"
"1674051675","-53.37","11.21","-14.37"
"1674051676","-53.29","11.19","-14.34"
"1674051677","-53.23","11.15","-14.40"
"1674051678","-53.15","11.15","-14.32"
"1674051679","-53.09","11.16","-14.23"
"1674051680","-53.01","11.11","-14.25"
"1674051681","-52.96","11.07","-14.31"
"1674051682","-52.90","11.09","-14.22"
"1674051683","-52.82","11.07","-14.18"
"1674051684","-52.76","11.03","-14.20"
"1674051685","-52.70","11.04","-14.12"
"1674051686","-52.62","10.99","-14.11"
"1674051687","-52.56","10.98","-14.08"
"1674051688","-52.50","10.95","-14.08"
"1674051689","-52.44","10.94","-14.05"
"1674051690","-52.39","10.93","-14.03"
"1674051691","-52.33","10.90","-14.02"
"1674051692","-52.28","10.88","-14.01"
"1674051693","-52.21","10.85","-13.99"
"1674051694","-52.17","10.84","-13.97"
"1674051695","-52.11","10.82","-13.95"
"1674051696","-52.06","10.79","-13.95"
"1674051697","-52.00","10.78","-13.91"
"1674051698","-51.95","10.77","-13.90"
"1674051699","-51.90","10.76","-13.86"
"1674051700","-51.85","10.75","-13.86"
"1674051701","-51.80","10.72","-13.80"
"1674051702","-51.73","10.69","-13.81"
"1674051703","-51.69","10.67","-13.80"
"1674051704","-51.63","10.63","-13.81"
"1674051705","-51.58","10.63","-13.78"
"1674051706","-51.53","10.65","-13.71"
"1674051707","-51.49","10.63","-13.71"
"1674051708","-51.44","10.60","-13.71"
"1674051709","-51.40","10.57","-13.71"
"1674051710","-51.36","10.59","-13.65"
"1674051711","-51.31","10.55","-13.64"
"1674051712","-51.27","10.57","-13.57"
"1674051713","-51.22","10.49","-13.63"
"1674051714","-51.17","10.49","-13.59"
"1674051715","-51.14","10.48","-13.58"
"1674051716","-51.09","10.46","-13.56"
"1674051717","-51.05","10.44","-13.54"
"1674051718","-51.01","10.42","-13.53"
"1674051719","-50.98","10.42","-13.49"
"1674051720","-50.93","10.39","-13.49"
"1674051721","-50.89","10.36","-13.48"
"1674051722","-50.85","10.36","-13.45"
"1674051723","-50.81","10.34","-13.43"
"1674051724","-50.77","10.33","-13.41"
"1674051725","-50.73","10.31","-13.39"
"1674051726","-50.70","10.30","-13.38"
"1674051727","-50.65","10.28","-13.36"
"1674051728","-50.62","10.27","-13.35"
"1674051729","-50.58","10.25","-13.34"
"1674051730","-50.54","10.24","-13.33"
"1674051731","-50.50","10.22","-13.31"
"1674051732","-50.46","10.21","-13.29"
"1674051733","-50.42","10.19","-13.28"
"1674051734","-50.39","10.18","-13.27"
"1674051735","-50.35","10.17","-13.24"
"1674051736","-50.31","10.15","-13.23"
"1674051737","-50.27","10.14","-13.22"
"1674051738","-50.24","10.13","-13.21"
"1674051739","-50.20","10.11","-13.19"
"1674051740","-50.17","10.12","-13.16"
"1674051741","-50.13","10.10","-13.15"
"1674051742","-50.09","10.08","-13.15"
"1674051743","-50.05","10.06","-13.14"
"1674051744","-50.01","10.03","-13.14"
"1674051745","-49.98","10.03","-13.11"
"1674051746","-49.94","10.02","-13.09"
"1674051747","-49.91","10.00","-13.10"
"1674051748","-49.86","9.99","-13.08"
"1674051749","-49.83","9.97","-13.07"
"1674051750","-49.79","9.97","-13.05"
"1674051751","-49.76","9.96","-13.04"
"1674051752","-49.72","9.95","-13.02"
"1674051753","-49.69","9.94","-13.01"
"1674051754","-49.65","9.92","-13.00"
"1674051755","-49.62","9.91","-12.99"
"1674051756","-49.58","9.91","-12.96"
"1674051757","-49.54","9.89","-12.97"
"1674051758","-49.51","9.87","-12.95"
"1674051759","-49.47","9.87","-12.93"
"1674051760","-49.44","9.87","-12.91"
"1674051761","-49.41","9.83","-12.92"
"1674051762","-49.37","9.82","-12.90"
"1674051763","-49.32","9.77","-12.96"
"1674051764","-49.30","9.80","-12.87"
"1674051765","-49.27","9.80","-12.85"
"1674051766","-49.24","9.79","-12.84"
"1674051767","-49.20","9.77","-12.84"
"1674051768","-49.18","9.78","-12.80"
"1674051769","-49.14","9.76","-12.79"
"1674051770","-49.11","9.75","-12.78"
"1674051771","-49.07","9.73","-12.78"
"1674051772","-49.04","9.72","-12.77"
"1674051773","-49.01","9.72","-12.75"
"1674051774","-48.98","9.70","-12.75"
"1674051775","-48.98","9.68","-12.77"
"1674051776","-49.00","9.67","-12.74"
"1674051777","-48.94","9.67","-12.71"
"1674051778","-48.91","9.67","-12.69"
"1674051779","-48.85","9.64","-12.69"
"1674051780","-48.81","9.63","-12.67"
"1674051781","-48.76","9.64","-12.65"
"1674051782","-48.72","9.62","-12.65"
"1674051783","-48.67","9.64","-12.56"
"1674051784","-48.63","9.61","-12.62"
"1674051785","-48.58","9.50","-12.72"
"1674051786","-48.56","9.55","-12.62"
"1674051787","-48.53","9.54","-12.60"
"1674051788","-48.50","9.55","-12.57"
"1674051789","-48.48","9.56","-12.54"
"1674051790","-48.46","9.56","-12.52"
"1674051791","-48.43","9.61","-12.44"
"1674051792","-48.38","9.50","-12.52"
"1674051793","-48.35","9.49","-12.54"
"1674051794","-48.31","9.49","-12.50"
"1674051795","-48.29","9.48","-12.48"
"1674051796","-48.27","9.48","-12.46"
