"","Differential 5 - 6 Last (mV)","Differential 7 - 8 Last (mV)","Differential 9 - 10 Last (mV)"
"1674048562","-47.99","12.64","-7.66"
"1674048563","-47.99","12.60","-7.66"
"1674048564","-47.98","12.51","-7.65"
"1674048565","-47.98","12.43","-7.65"
"1674048566","-47.97","12.36","-7.65"
"1674048567","-47.97","12.28","-7.65"
"1674048568","-47.96","12.22","-7.64"
"1674048569","-47.96","12.15","-7.64"
"1674048570","-47.96","12.09","-7.64"
"1674048571","-47.95","12.03","-7.64"
"1674048572","-47.95","11.98","-7.64"
"1674048573","-47.95","11.92","-7.64"
"1674048574","-47.94","11.88","-7.64"
"1674048575","-47.94","11.82","-7.64"
"1674048576","-47.93","11.78","-7.64"
"1674048577","-47.93","11.73","-7.63"
"1674048578","-47.93","11.70","-7.63"
"1674048579","-47.92","11.66","-7.62"
"1674048580","-47.92","11.62","-7.62"
"1674048581","-47.92","11.58","-7.62"
"1674048582","-47.91","11.55","-7.62"
"1674048583","-47.91","11.51","-7.62"
"1674048584","-47.90","11.47","-7.62"
"1674048585","-47.90","11.44","-7.62"
"1674048586","-47.90","11.41","-7.63"
"1674048587","-47.89","11.35","-7.62"
"1674048588","-47.89","11.32","-7.63"
"1674048589","-47.89","11.30","-7.64"
"1674048590","-47.89","11.28","-7.64"
"1674048591","-47.89","11.25","-7.64"
"1674048592","-47.89","11.21","-7.64"
"1674048593","-47.89","11.19","-7.64"
"1674048594","-47.88","11.16","-7.63"
"1674048595","-47.88","11.14","-7.62"
"1674048596","-47.87","11.12","-7.62"
"1674048597","-47.87","11.10","-7.62"
"1674048598","-47.86","11.08","-7.61"
"1674048599","-47.86","11.06","-7.61"
"1674048600","-47.86","11.04","-7.61"
"1674048601","-47.85","11.02","-7.61"
"1674048602","-47.85","11.01","-7.61"
"1674048603","-47.85","10.99","-7.61"
"1674048604","-47.84","10.98","-7.61"
"1674048605","-47.84","10.96","-7.61"
"1674048606","-47.83","10.95","-7.61"
"1674048607","-47.83","10.93","-7.61"
"1674048608","-47.82","10.92","-7.61"
"1674048609","-47.82","10.90","-7.61"
"1674048610","-47.81","10.89","-7.61"
"1674048611","-47.81","10.88","-7.61"
"1674048612","-47.80","10.86","-7.60"
"1674048613","-47.80","10.85","-7.60"
"1674048614","-47.79","10.84","-7.60"
"1674048615","-47.79","10.82","-7.61"
"1674048616","-47.78","10.81","-7.60"
"1674048617","-47.76","8.99","-7.61"
"1674048618","-47.78","7.59","-7.59"
"1674048619","-47.77","6.88","-7.60"
"1674048620","-47.76","6.20","-7.60"
"1674048621","-47.77","6.51","-7.60"
"1674048622","-47.76","6.27","-7.60"
"1674048623","-47.75","6.63","-7.60"
"1674048624","-47.74","6.08","-7.59"
"1674048625","-47.73","6.13","-7.59"
"1674048626","-47.72","6.34","-7.59"
"1674048627","-47.72","6.58","-7.58"
"1674048628","-47.71","6.61","-7.58"
"1674048629","-47.71","6.17","-7.58"
"1674048630","-47.70","6.14","-7.58"
"1674048631","-47.70","6.40","-7.58"
"1674048632","-47.69","6.41","-7.58"
"1674048633","-47.68","6.56","-7.58"
"1674048634","-47.68","6.41","-7.58"
"1674048635","-47.68","6.54","-7.57"
"1674048636","-47.67","6.59","-7.57"
"1674048637","-47.66","6.64","-7.56"
"1674048638","-47.66","6.87","-7.56"
"1674048639","-47.65","7.27","-7.55"
"1674048640","-47.64","7.18","-7.55"
"1674048641","-47.64","9.66","-7.55"
"1674048642","-47.63","9.47","-7.56"
"1674048643","-47.63","10.00","-7.56"
"1674048644","-47.62","8.65","-7.55"
"1674048645","-47.62","8.85","-7.56"
"1674048646","-47.62","8.94","-7.55"
"1674048647","-47.62","8.45","-7.52"
"1674048648","-47.61","14.34","-7.53"
"1674048649","-47.60","13.86","-7.58"
"1674048650","-47.61","13.56","-7.54"
"1674048651","-47.62","13.35","-7.53"
"1674048652","-47.62","13.11","-7.52"
"1674048653","-47.62","12.86","-7.52"
"1674048654","-47.60","12.67","-7.52"
"1674048655","-47.63","12.47","-7.52"
"1674048656","-47.56","12.34","-7.48"
"1674048657","-47.60","12.17","-7.50"
"1674048658","-47.61","12.06","-7.51"
"1674048659","-47.60","11.93","-7.49"
"1674048660","-47.59","11.83","-7.49"
"1674048661","-47.59","11.72","-7.48"
"1674048662","-47.59","11.65","-7.47"
"1674048663","-47.59","11.55","-7.47"
"1674048664","-47.56","11.48","-7.47"
"1674048665","-47.56","11.38","-7.51"
"1674048666","-47.55","11.32","-7.53"
"1674048667","-47.55","11.27","-7.53"
"1674048668","-47.55","11.22","-7.52"
"1674048669","-47.55","11.17","-7.51"
"1674048670","-47.55","11.13","-7.50"
"1674048671","-47.55","11.09","-7.50"
"1674048672","-47.55","11.05","-7.49"
"1674048673","-47.55","11.02","-7.49"
"1674048674","-47.55","10.98","-7.48"
"1674048675","-47.54","10.95","-7.48"
"1674048676","-47.54","10.92","-7.48"
"1674048677","-47.54","10.90","-7.47"
"1674048678","-47.54","10.87","-7.46"
"1674048679","-47.54","10.85","-7.45"
"1674048680","-47.54","10.82","-7.43"
"1674048681","-47.54","10.80","-7.42"
"1674048682","-47.53","10.77","-7.44"
"1674048683","-47.53","10.76","-7.42"
"1674048684","-47.52","10.71","-7.45"
"1674048685","-47.53","10.73","-7.41"
"1674048686","-47.52","10.71","-7.39"
"1674048687","-47.52","10.69","-7.41"
"1674048688","-47.51","10.68","-7.40"
"1674048689","-47.50","10.66","-7.41"
"1674048690","-47.50","10.65","-7.41"
"1674048691","-47.49","10.63","-7.41"
"1674048692","-47.49","10.62","-7.41"
"1674048693","-47.49","10.61","-7.41"
"1674048694","-47.48","10.60","-7.42"
"1674048695","-47.48","10.59","-7.42"
"1674048696","-47.47","10.58","-7.43"
"1674048697","-47.47","10.57","-7.43"
"1674048698","-47.47","10.56","-7.43"
"1674048699","-47.46","10.55","-7.42"
"1674048700","-47.46","10.54","-7.42"
"1674048701","-47.46","10.54","-7.43"
"1674048702","-47.46","10.54","-7.43"
"1674048703","-47.45","10.50","-7.48"
"1674048704","-47.45","10.53","-7.40"
"1674048705","-47.44","10.50","-7.43"
"1674048706","-47.43","10.49","-7.45"
"1674048707","-47.43","10.48","-7.44"
"1674048708","-47.43","10.50","-7.40"
"1674048709","-47.43","10.51","-7.40"
"1674048710","-47.42","10.49","-7.42"
"1674048711","-47.42","10.48","-7.44"
"1674048712","-47.42","10.49","-7.40"
"1674048713","-47.41","10.48","-7.41"
"1674048714","-47.40","10.45","-7.41"
"1674048715","-47.39","10.46","-7.21"
"1674048716","-47.39","10.47","-7.13"
"1674048717","-47.38","10.46","-7.09"
"1674048718","-47.37","10.45","-7.04"
"1674048719","-47.37","10.45","-7.01"
"1674048720","-47.36","10.42","-7.01"
"1674048721","-47.35","10.41","-6.99"
"1674048722","-47.34","10.41","-6.96"
"1674048723","-47.34","10.42","-6.91"
"1674048724","-47.34","10.42","-6.88"
"1674048725","-47.34","10.42","-6.86"
"1674048726","-47.34","10.42","-6.84"
"1674048727","-47.33","10.43","-6.81"
"1674048728","-47.33","10.43","-6.80"
"1674048729","-47.32","10.43","-6.79"
"1674048730","-47.31","10.42","-6.78"
"1674048731","-47.31","10.42","-6.77"
"1674048732","-47.29","10.38","-6.80"
"1674048733","-47.28","10.39","-6.77"
"1674048734","-47.29","10.41","-6.74"
"1674048735","-47.27","10.40","-6.75"
"1674048736","-47.28","10.40","-6.73"
"1674048737","-47.27","10.41","-6.72"
"1674048738","-47.26","10.41","-6.72"
"1674048739","-47.26","10.41","-6.70"
"1674048740","-47.25","10.40","-6.69"
"1674048741","-47.24","10.40","-6.68"
"1674048742","-47.21","10.41","-6.67"
"1674048743","-47.15","10.40","-6.66"
"1674048744","-47.10","10.40","-6.65"
"1674048745","-47.07","10.41","-6.65"
"1674048746","-47.04","10.41","-6.64"
"1674048747","-47.02","10.40","-6.64"
"1674048748","-46.99","10.40","-6.63"
"1674048749","-46.98","10.41","-6.62"
"1674048750","-46.96","10.41","-6.62"
"1674048751","-46.94","10.41","-6.61"
"1674048752","-46.93","10.41","-6.61"
"1674048753","-46.92","10.41","-6.60"
"1674048754","-46.90","10.41","-6.60"
"1674048755","-46.89","10.41","-6.60"
"1674048756","-46.88","10.41","-6.60"
"1674048757","-46.88","10.41","-6.59"
"1674048758","-46.87","10.40","-6.59"
"1674048759","-46.86","10.40","-6.59"
"1674048760","-46.85","10.39","-6.58"
"1674048761","-46.84","10.39","-6.58"
"1674048762","-46.83","10.39","-6.58"
"1674048763","-46.83","10.39","-6.57"
"1674048764","-46.82","10.39","-6.56"
"1674048765","-46.80","10.39","-6.55"
"1674048766","-46.79","10.39","-6.55"
"1674048767","-46.78","10.39","-6.55"
"1674048768","-46.77","10.39","-6.54"
"1674048769","-46.76","10.39","-6.53"
"1674048770","-46.75","10.39","-6.52"
"1674048771","-46.74","10.40","-6.51"
"1674048772","-46.73","10.39","-6.51"
"1674048773","-46.72","10.40","-6.50"
"1674048774","-46.71","10.40","-6.50"
"1674048775","-46.70","10.40","-6.49"
"1674048776","-46.69","10.40","-6.49"
"1674048777","-46.68","10.40","-6.48"
"1674048778","-46.67","10.41","-6.48"
"1674048779","-46.66","10.41","-6.49"
"1674048780","-46.65","10.41","-6.49"
"1674048781","-46.65","10.41","-6.48"
"1674048782","-46.63","10.41","-6.48"
"1674048783","-46.61","10.41","-6.47"
"1674048784","-46.60","10.41","-6.46"
"1674048785","-46.59","10.41","-6.45"
"1674048786","-46.58","10.41","-6.45"
"1674048787","-46.58","10.41","-6.44"
"1674048788","-46.57","10.41","-6.43"
"1674048789","-46.56","10.41","-6.42"
"1674048790","-46.54","10.41","-6.41"
"1674048791","-46.53","10.41","-6.41"
"1674048792","-46.51","10.41","-6.40"
"1674048793","-46.50","10.41","-6.40"
"1674048794","-46.48","10.41","-6.39"
"1674048795","-46.47","10.42","-6.40"
"1674048796","-46.46","10.42","-6.41"
"1674048797","-46.45","10.42","-6.39"
"1674048798","-46.44","10.43","-6.38"
"1674048799","-46.44","10.44","-6.37"
"1674048800","-46.43","10.44","-6.37"
"1674048801","-46.41","10.44","-6.37"
"1674048802","-46.40","10.44","-6.37"
"1674048803","-46.39","10.44","-6.37"
"1674048804","-46.38","10.44","-6.38"
"1674048805","-46.36","10.44","-6.38"
"1674048806","-46.35","10.44","-6.39"
"1674048807","-46.35","10.45","-6.38"
"1674048808","-46.34","10.45","-6.37"
"1674048809","-46.34","10.45","-6.37"
"1674048810","-46.34","10.45","-6.36"
"1674048811","-46.33","10.44","-6.36"
"1674048812","-46.32","10.44","-6.36"
"1674048813","-46.31","10.44","-6.35"
"1674048814","-46.30","10.44","-6.34"
"1674048815","-46.29","10.44","-6.34"
"1674048816","-46.28","10.45","-6.34"
"1674048817","-46.26","10.45","-6.33"
"1674048818","-46.25","10.45","-6.33"
"1674048819","-46.25","10.46","-6.33"
"1674048820","-46.24","10.47","-6.32"
"1674048821","-46.23","10.46","-6.33"
"1674048822","-46.22","10.47","-6.31"
"1674048823","-46.21","10.47","-6.32"
"1674048824","-46.20","10.47","-6.33"
"1674048825","-46.20","10.48","-6.31"
"1674048826","-46.20","10.48","-6.30"
"1674048827","-46.20","10.48","-6.29"
"1674048828","-46.19","10.49","-6.30"
"1674048829","-46.19","10.50","-6.29"
"1674048830","-46.18","10.49","-6.30"
