"","ostreatus1 Last (mV)","ostreatus2 Last (mV)","pleurotus1 Last (mV)","pleurotus2 Last (mV)"
"1674656565.004","5.26","7.29","7.85","5.56"
"1674656565.064","5.25","7.33","7.86","5.45"
"1674656565.124","5.25","7.27","7.86","5.48"
"1674656565.184","5.26","7.22","7.86","5.51"
"1674656565.244","5.26","7.16","7.86","5.53"
"1674656565.304","5.27","7.11","7.86","5.56"
"1674656565.364","5.27","7.12","7.85","5.65"
"1674656565.424","5.27","7.13","7.83","5.74"
"1674656565.484","5.27","7.14","7.82","5.83"
"1674656565.544","5.28","7.15","7.80","5.92"
"1674656565.604","5.27","7.14","7.81","5.81"
"1674656565.664","5.26","7.12","7.82","5.71"
"1674656565.724","5.25","7.10","7.82","5.61"
"1674656565.784","5.24","7.09","7.83","5.50"
"1674656565.844","5.24","7.07","7.84","5.40"
"1674656565.904","5.25","7.06","7.83","5.44"
"1674656565.964","5.25","7.06","7.81","5.48"
"1674656566.024","5.26","7.05","7.80","5.52"
"1674656566.084","5.27","7.05","7.79","5.56"
"1674656566.144","5.27","7.11","7.78","5.63"
"1674656566.204","5.26","7.17","7.78","5.71"
"1674656566.264","5.26","7.23","7.77","5.79"
"1674656566.324","5.25","7.30","7.77","5.86"
"1674656566.384","5.25","7.29","7.78","5.74"
"1674656566.444","5.24","7.29","7.80","5.62"
"1674656566.504","5.24","7.29","7.81","5.49"
"1674656566.564","5.23","7.29","7.82","5.37"
"1674656566.624","5.24","7.24","7.81","5.42"
"1674656566.684","5.25","7.18","7.80","5.48"
"1674656566.744","5.26","7.13","7.79","5.53"
"1674656566.804","5.27","7.08","7.78","5.58"
"1674656566.864","5.26","7.13","7.78","5.61"
"1674656566.924","5.26","7.18","7.77","5.64"
"1674656566.984","5.26","7.23","7.77","5.67"
"1674656567.044","5.25","7.28","7.76","5.70"
"1674656567.104","5.24","7.31","7.77","5.63"
"1674656567.164","5.24","7.33","7.78","5.55"
"1674656567.224","5.23","7.35","7.78","5.47"
"1674656567.284","5.23","7.38","7.79","5.40"
"1674656567.344","5.24","7.33","7.78","5.48"
"1674656567.404","5.25","7.28","7.78","5.57"
"1674656567.464","5.27","7.23","7.77","5.66"
"1674656567.524","5.28","7.18","7.77","5.74"
"1674656567.584","5.28","7.27","7.77","5.71"
"1674656567.644","5.28","7.36","7.77","5.68"
"1674656567.704","5.28","7.45","7.78","5.65"
"1674656567.764","5.27","7.54","7.78","5.62"
"1674656567.824","5.27","7.63","7.78","5.59"
"1674656567.884","5.26","7.60","7.79","5.54"
"1674656567.944","5.25","7.57","7.80","5.48"
"1674656568.004","5.24","7.53","7.81","5.43"
"1674656568.064","5.23","7.50","7.82","5.38"
"1674656568.124","5.25","7.49","7.81","5.48"
"1674656568.184","5.26","7.47","7.80","5.57"
"1674656568.244","5.28","7.46","7.79","5.66"
"1674656568.304","5.30","7.44","7.78","5.76"
"1674656568.364","5.30","7.48","7.79","5.73"
"1674656568.424","5.29","7.53","7.79","5.71"
"1674656568.484","5.29","7.57","7.79","5.69"
"1674656568.544","5.29","7.61","7.80","5.67"
"1674656568.604","5.28","7.59","7.81","5.64"
"1674656568.664","5.28","7.58","7.81","5.61"
"1674656568.724","5.27","7.56","7.82","5.58"
"1674656568.784","5.26","7.55","7.83","5.54"
"1674656568.844","5.25","7.54","7.84","5.51"
"1674656568.904","5.27","7.49","7.83","5.60"
"1674656568.964","5.28","7.45","7.81","5.69"
"1674656569.024","5.29","7.40","7.80","5.77"
"1674656569.084","5.31","7.36","7.79","5.86"
"1674656569.144","5.30","7.39","7.80","5.79"
"1674656569.204","5.30","7.42","7.81","5.71"
"1674656569.264","5.29","7.45","7.82","5.64"
"1674656569.324","5.29","7.48","7.83","5.57"
"1674656569.384","5.28","7.45","7.84","5.57"
"1674656569.444","5.28","7.42","7.85","5.57"
"1674656569.504","5.27","7.39","7.85","5.56"
"1674656569.564","5.27","7.36","7.86","5.56"
"1674656569.624","5.27","7.35","7.84","5.67"
"1674656569.684","5.28","7.35","7.83","5.78"
"1674656569.744","5.28","7.34","7.82","5.89"
"1674656569.804","5.29","7.33","7.81","5.99"
"1674656569.864","5.28","7.34","7.81","5.89"
"1674656569.924","5.27","7.34","7.81","5.78"
"1674656569.984","5.26","7.35","7.81","5.67"
"1674656570.044","5.25","7.36","7.81","5.57"
"1674656570.104","5.24","7.35","7.80","5.55"
"1674656570.164","5.24","7.34","7.80","5.54"
"1674656570.224","5.23","7.32","7.79","5.53"
"1674656570.284","5.23","7.31","7.78","5.52"
"1674656570.344","5.24","7.28","7.77","5.61"
"1674656570.404","5.26","7.25","7.75","5.70"
"1674656570.464","5.27","7.21","7.74","5.79"
"1674656570.524","5.29","7.18","7.72","5.89"
"1674656570.584","5.25","7.42","7.85","5.50"
"1674656570.644","5.25","7.38","7.84","5.51"
"1674656570.704","5.25","7.35","7.82","5.53"
"1674656570.764","5.25","7.31","7.80","5.54"
"1674656570.824","5.25","7.28","7.79","5.56"
"1674656570.884","5.26","7.26","7.79","5.65"
"1674656570.944","5.26","7.24","7.79","5.74"
"1674656571.004","5.27","7.21","7.79","5.83"
"1674656571.064","5.28","7.19","7.80","5.92"
"1674656571.124","5.26","7.22","7.80","5.79"
"1674656571.184","5.25","7.24","7.79","5.66"
"1674656571.244","5.24","7.27","7.79","5.53"
"1674656571.304","5.23","7.30","7.79","5.40"
"1674656571.364","5.24","7.28","7.80","5.46"
"1674656571.424","5.25","7.26","7.81","5.52"
"1674656571.484","5.26","7.24","7.81","5.57"
"1674656571.544","5.27","7.22","7.82","5.63"
"1674656571.604","5.26","7.26","7.81","5.66"
"1674656571.664","5.26","7.29","7.81","5.69"
"1674656571.724","5.25","7.32","7.80","5.71"
"1674656571.784","5.25","7.35","7.79","5.74"
"1674656571.844","5.24","7.38","7.79","5.77"
"1674656571.904","5.24","7.37","7.79","5.68"
"1674656571.964","5.24","7.37","7.79","5.59"
"1674656572.024","5.23","7.36","7.80","5.50"
"1674656572.084","5.23","7.35","7.80","5.41"
"1674656572.144","5.24","7.37","7.80","5.47"
"1674656572.204","5.24","7.39","7.79","5.52"
"1674656572.264","5.25","7.41","7.79","5.58"
"1674656572.324","5.26","7.44","7.79","5.64"
"1674656572.384","5.26","7.40","7.78","5.69"
"1674656572.444","5.26","7.36","7.77","5.75"
"1674656572.504","5.27","7.32","7.76","5.80"
"1674656572.564","5.27","7.29","7.76","5.85"
"1674656572.624","5.26","7.32","7.75","5.75"
"1674656572.684","5.25","7.36","7.74","5.65"
"1674656572.744","5.24","7.39","7.73","5.55"
"1674656572.804","5.23","7.43","7.73","5.45"
"1674656572.864","5.25","7.43","7.74","5.53"
"1674656572.924","5.27","7.44","7.75","5.61"
"1674656572.984","5.29","7.45","7.76","5.69"
"1674656573.044","5.31","7.46","7.77","5.77"
"1674656573.104","5.30","7.52","7.77","5.74"
"1674656573.164","5.30","7.57","7.77","5.72"
"1674656573.224","5.29","7.63","7.77","5.70"
"1674656573.284","5.29","7.68","7.78","5.68"
"1674656573.344","5.28","7.67","7.76","5.62"
"1674656573.404","5.27","7.66","7.74","5.56"
"1674656573.464","5.27","7.66","7.72","5.50"
"1674656573.524","5.26","7.65","7.70","5.44"
"1674656573.584","5.27","7.62","7.71","5.53"
"1674656573.644","5.28","7.60","7.72","5.62"
"1674656573.704","5.29","7.57","7.73","5.70"
"1674656573.764","5.30","7.55","7.74","5.79"
"1674656573.824","5.31","7.52","7.76","5.87"
"1674656573.884","5.30","7.55","7.74","5.78"
"1674656573.944","5.29","7.58","7.73","5.69"
"1674656574.004","5.29","7.61","7.72","5.60"
"1674656574.064","5.28","7.64","7.70","5.51"
"1674656574.124","5.27","7.56","7.71","5.53"
"1674656574.184","5.27","7.48","7.71","5.55"
"1674656574.244","5.27","7.40","7.72","5.57"
"1674656574.304","5.27","7.32","7.73","5.59"
"1674656574.364","5.27","7.32","7.72","5.67"
"1674656574.424","5.28","7.32","7.71","5.76"
"1674656574.484","5.29","7.33","7.70","5.85"
"1674656574.544","5.29","7.33","7.70","5.94"
"1674656574.604","5.28","7.35","7.71","5.85"
"1674656574.664","5.27","7.38","7.72","5.75"
"1674656574.724","5.27","7.40","7.74","5.65"
"1674656574.784","5.26","7.43","7.75","5.55"
"1674656574.844","5.25","7.45","7.76","5.45"
"1674656574.904","5.26","7.40","7.75","5.52"
"1674656574.964","5.27","7.35","7.75","5.59"
"1674656575.024","5.28","7.29","7.74","5.67"
"1674656575.084","5.29","7.24","7.73","5.74"
"1674656575.144","5.29","7.28","7.74","5.74"
"1674656575.204","5.28","7.32","7.75","5.75"
"1674656575.264","5.27","7.37","7.76","5.76"
"1674656575.324","5.27","7.41","7.77","5.77"
"1674656575.384","5.26","7.42","7.77","5.69"
"1674656575.444","5.25","7.44","7.77","5.61"
"1674656575.504","5.25","7.45","7.77","5.53"
"1674656575.564","5.24","7.47","7.77","5.45"
"1674656575.624","5.26","7.40","7.76","5.51"
"1674656575.684","5.27","7.34","7.75","5.58"
"1674656575.744","5.29","7.28","7.75","5.65"
"1674656575.804","5.31","7.22","7.74","5.71"
"1674656575.864","5.30","7.27","7.74","5.72"
"1674656575.924","5.30","7.32","7.74","5.72"
"1674656575.984","5.29","7.36","7.74","5.72"
"1674656576.044","5.29","7.41","7.74","5.72"
"1674656576.104","5.28","7.41","7.75","5.66"
"1674656576.164","5.27","7.41","7.76","5.59"
"1674656576.224","5.26","7.41","7.77","5.52"
"1674656576.284","5.24","7.41","7.78","5.46"
"1674656576.344","5.25","7.37","7.77","5.55"
"1674656576.404","5.26","7.33","7.76","5.64"
"1674656576.464","5.27","7.30","7.75","5.74"
"1674656576.524","5.28","7.26","7.74","5.83"
"1674656576.584","5.27","7.30","7.74","5.79"
"1674656576.644","5.26","7.34","7.75","5.75"
"1674656576.704","5.25","7.39","7.75","5.71"
"1674656576.764","5.24","7.43","7.75","5.68"
"1674656576.824","5.23","7.48","7.76","5.64"
"1674656576.884","5.23","7.47","7.77","5.60"
"1674656576.944","5.22","7.46","7.78","5.56"
"1674656577.004","5.22","7.46","7.79","5.52"
"1674656577.064","5.22","7.45","7.80","5.47"
"1674656577.124","5.23","7.33","7.78","5.58"
"1674656577.184","5.24","7.21","7.76","5.69"
"1674656577.244","5.26","7.09","7.74","5.80"
"1674656577.304","5.27","6.98","7.72","5.91"
"1674656577.364","5.26","7.04","7.73","5.81"
"1674656577.424","5.25","7.11","7.74","5.70"
"1674656577.484","5.24","7.17","7.75","5.60"
"1674656577.544","5.23","7.23","7.76","5.49"
"1674656577.604","5.25","7.47","7.74","5.64"
"1674656577.664","5.26","7.50","7.74","5.70"
"1674656577.724","5.26","7.53","7.74","5.77"
"1674656577.784","5.26","7.55","7.74","5.83"
"1674656577.844","5.26","7.58","7.73","5.89"
"1674656577.904","5.25","7.61","7.75","5.78"
"1674656577.964","5.25","7.64","7.76","5.67"
"1674656578.024","5.24","7.66","7.78","5.55"
"1674656578.084","5.23","7.69","7.79","5.44"
"1674656578.144","5.24","7.57","7.77","5.50"
"1674656578.204","5.25","7.45","7.75","5.55"
"1674656578.264","5.27","7.33","7.73","5.61"
"1674656578.324","5.28","7.21","7.71","5.67"
"1674656578.384","5.28","7.25","7.70","5.72"
"1674656578.444","5.28","7.29","7.68","5.77"
"1674656578.504","5.27","7.34","7.66","5.82"
"1674656578.564","5.27","7.38","7.64","5.87"
"1674656578.624","5.26","7.40","7.65","5.77"
"1674656578.684","5.25","7.42","7.66","5.67"
"1674656578.744","5.24","7.44","7.67","5.57"
"1674656578.804","5.23","7.46","7.69","5.46"
"1674656578.864","5.24","7.41","7.68","5.54"
"1674656578.924","5.26","7.35","7.68","5.62"
"1674656578.984","5.27","7.29","7.68","5.70"
"1674656579.044","5.29","7.24","7.67","5.77"
"1674656579.104","5.28","7.36","7.67","5.76"
"1674656579.164","5.27","7.47","7.67","5.74"
"1674656579.224","5.26","7.59","7.67","5.72"
"1674656579.284","5.26","7.71","7.67","5.71"
"1674656579.344","5.25","7.65","7.68","5.64"
"1674656579.404","5.24","7.59","7.69","5.57"
"1674656579.464","5.23","7.52","7.70","5.50"
"1674656579.524","5.22","7.46","7.71","5.43"
"1674656579.584","5.23","7.47","7.71","5.51"
"1674656579.644","5.24","7.47","7.70","5.58"
"1674656579.704","5.26","7.47","7.69","5.66"
"1674656579.764","5.27","7.47","7.69","5.73"
"1674656579.824","5.28","7.48","7.68","5.81"
"1674656579.884","5.28","7.53","7.69","5.78"
"1674656579.944","5.27","7.58","7.70","5.75"
"1674656580.004","5.27","7.63","7.70","5.72"
"1674656580.064","5.27","7.68","7.71","5.69"
"1674656580.124","5.26","7.63","7.72","5.65"
"1674656580.184","5.24","7.58","7.72","5.60"
"1674656580.244","5.23","7.53","7.73","5.56"
"1674656580.304","5.22","7.48","7.73","5.52"
"1674656580.364","5.23","7.44","7.73","5.61"
"1674656580.424","5.24","7.40","7.73","5.71"
"1674656580.484","5.25","7.37","7.72","5.80"
"1674656580.544","5.27","7.33","7.72","5.90"
"1674656580.604","5.26","7.37","7.72","5.83"
"1674656580.664","5.25","7.41","7.73","5.76"
"1674656580.724","5.24","7.45","7.73","5.69"
"1674656580.784","5.23","7.50","7.74","5.62"
"1674656580.844","5.22","7.54","7.74","5.55"
"1674656580.904","5.22","7.51","7.76","5.55"
"1674656580.964","5.22","7.48","7.79","5.54"
"1674656581.024","5.22","7.45","7.81","5.54"
"1674656581.084","5.22","7.42","7.84","5.54"
"1674656581.144","5.23","7.42","7.80","5.63"
"1674656581.204","5.24","7.42","7.77","5.72"
"1674656581.264","5.26","7.42","7.73","5.81"
"1674656581.324","5.27","7.41","7.70","5.91"
"1674656581.384","5.26","7.45","7.72","5.77"
"1674656581.444","5.25","7.48","7.73","5.64"
"1674656581.504","5.23","7.52","7.75","5.51"
"1674656581.564","5.22","7.55","7.77","5.38"
"1674656581.624","5.22","7.51","7.77","5.43"
"1674656581.684","5.23","7.46","7.77","5.49"
"1674656581.744","5.23","7.42","7.77","5.54"
"1674656581.804","5.23","7.38","7.77","5.60"
"1674656581.864","5.23","7.41","7.76","5.65"
"1674656581.924","5.23","7.44","7.75","5.71"
"1674656581.984","5.24","7.47","7.74","5.77"
"1674656582.044","5.24","7.50","7.73","5.82"
"1674656582.104","5.22","7.52","7.74","5.71"
"1674656582.164","5.21","7.54","7.76","5.59"
"1674656582.224","5.19","7.56","7.77","5.47"
"1674656582.284","5.18","7.58","7.78","5.36"
"1674656582.344","5.20","7.54","7.78","5.43"
"1674656582.404","5.21","7.49","7.78","5.51"
"1674656582.464","5.23","7.45","7.78","5.59"
"1674656582.524","5.24","7.40","7.78","5.66"
"1674656582.584","5.24","7.38","7.78","5.66"
"1674656582.644","5.23","7.35","7.77","5.66"
"1674656582.704","5.23","7.32","7.76","5.66"
"1674656582.764","5.22","7.29","7.76","5.66"
"1674656582.824","5.22","7.27","7.75","5.66"
"1674656582.884","5.22","7.28","7.75","5.58"
"1674656582.944","5.21","7.30","7.76","5.51"
"1674656583.004","5.21","7.32","7.76","5.44"
"1674656583.064","5.21","7.34","7.77","5.36"
"1674656583.124","5.22","7.31","7.75","5.47"
"1674656583.184","5.24","7.28","7.74","5.57"
"1674656583.244","5.25","7.25","7.73","5.67"
"1674656583.304","5.26","7.22","7.71","5.77"
"1674656583.364","5.25","7.28","7.72","5.69"
"1674656583.424","5.25","7.35","7.74","5.61"
"1674656583.484","5.24","7.41","7.75","5.53"
"1674656583.544","5.23","7.47","7.76","5.45"
"1674656583.604","5.22","7.45","7.76","5.46"
"1674656583.664","5.22","7.42","7.76","5.47"
"1674656583.724","5.22","7.39","7.76","5.48"
"1674656583.784","5.22","7.37","7.76","5.49"
"1674656583.844","5.22","7.34","7.76","5.50"
"1674656583.904","5.23","7.38","7.74","5.61"
"1674656583.964","5.23","7.42","7.71","5.72"
"1674656584.024","5.24","7.46","7.68","5.82"
"1674656584.084","5.25","7.50","7.66","5.93"
"1674656584.144","5.24","7.50","7.68","5.81"
"1674656584.204","5.23","7.50","7.70","5.68"
"1674656584.264","5.22","7.50","7.72","5.56"
"1674656584.324","5.21","7.50","7.74","5.44"
"1674656584.384","5.21","7.46","7.73","5.48"
"1674656584.444","5.22","7.43","7.72","5.53"
"1674656584.504","5.22","7.40","7.71","5.57"
"1674656584.564","5.23","7.36","7.70","5.61"
"1674656584.624","5.24","7.48","7.73","5.81"
"1674656584.684","5.22","7.51","7.73","5.69"
"1674656584.744","5.21","7.53","7.74","5.57"
"1674656584.804","5.19","7.56","7.74","5.45"
"1674656584.864","5.20","7.51","7.75","5.50"
"1674656584.924","5.21","7.45","7.76","5.55"
"1674656584.984","5.21","7.40","7.76","5.59"
"1674656585.044","5.22","7.34","7.77","5.64"
"1674656585.104","5.23","7.38","7.76","5.68"
"1674656585.164","5.24","7.42","7.76","5.72"
"1674656585.224","5.25","7.45","7.75","5.77"
"1674656585.284","5.27","7.49","7.74","5.81"
"1674656585.344","5.24","7.50","7.75","5.71"
"1674656585.404","5.22","7.51","7.75","5.61"
"1674656585.464","5.20","7.51","7.75","5.51"
"1674656585.524","5.18","7.52","7.76","5.41"
"1674656585.584","5.19","7.48","7.76","5.47"
"1674656585.644","5.20","7.43","7.76","5.53"
"1674656585.704","5.21","7.39","7.76","5.59"
"1674656585.764","5.22","7.35","7.76","5.66"
"1674656585.824","5.23","7.30","7.75","5.72"
"1674656585.884","5.24","7.36","7.77","5.70"
"1674656585.944","5.24","7.41","7.79","5.68"
"1674656586.004","5.24","7.46","7.81","5.66"
"1674656586.064","5.25","7.52","7.83","5.64"
"1674656586.124","5.24","7.51","7.82","5.59"
"1674656586.184","5.23","7.51","7.81","5.53"
"1674656586.244","5.22","7.50","7.80","5.48"
"1674656586.304","5.21","7.50","7.80","5.42"
"1674656586.364","5.21","7.41","7.78","5.52"
"1674656586.424","5.22","7.32","7.77","5.61"
"1674656586.484","5.22","7.23","7.76","5.71"
"1674656586.544","5.23","7.14","7.74","5.80"
"1674656586.604","5.22","7.17","7.76","5.75"
"1674656586.664","5.22","7.20","7.78","5.70"
"1674656586.724","5.22","7.23","7.79","5.65"
"1674656586.784","5.22","7.26","7.81","5.60"
"1674656586.844","5.21","7.29","7.83","5.55"
"1674656586.904","5.21","7.27","7.84","5.52"
"1674656586.964","5.21","7.24","7.84","5.50"
"1674656587.024","5.21","7.21","7.85","5.47"
"1674656587.084","5.20","7.19","7.86","5.45"
"1674656587.144","5.21","7.21","7.84","5.55"
"1674656587.204","5.22","7.23","7.82","5.65"
"1674656587.264","5.23","7.25","7.80","5.75"
"1674656587.324","5.24","7.27","7.79","5.85"
"1674656587.384","5.24","7.26","7.79","5.74"
"1674656587.444","5.23","7.25","7.80","5.63"
"1674656587.504","5.22","7.25","7.81","5.52"
"1674656587.564","5.21","7.24","7.82","5.41"
"1674656587.624","5.21","7.22","7.82","5.43"
"1674656587.684","5.21","7.20","7.81","5.46"
"1674656587.744","5.21","7.18","7.81","5.49"
"1674656587.804","5.22","7.16","7.80","5.52"
"1674656587.864","5.22","7.20","7.79","5.59"
"1674656587.924","5.23","7.24","7.79","5.67"
"1674656587.984","5.23","7.28","7.78","5.74"
"1674656588.044","5.24","7.32","7.77","5.82"
"1674656588.104","5.23","7.35","7.77","5.70"
"1674656588.164","5.22","7.37","7.78","5.58"
"1674656588.224","5.20","7.40","7.79","5.46"
"1674656588.284","5.19","7.43","7.80","5.34"
"1674656588.344","5.20","7.35","7.79","5.42"
"1674656588.404","5.20","7.27","7.77","5.50"
"1674656588.464","5.21","7.20","7.76","5.58"
"1674656588.524","5.21","7.12","7.75","5.65"
"1674656588.584","5.21","7.18","7.75","5.68"
"1674656588.644","5.21","7.25","7.74","5.71"
"1674656588.704","5.21","7.31","7.74","5.73"
"1674656588.764","5.21","7.38","7.74","5.76"
"1674656588.824","5.20","7.44","7.73","5.78"
"1674656588.884","5.20","7.45","7.74","5.68"
"1674656588.944","5.20","7.46","7.76","5.57"
"1674656589.004","5.19","7.46","7.77","5.47"
"1674656589.064","5.19","7.47","7.78","5.36"
"1674656589.124","5.21","7.44","7.77","5.44"
"1674656589.184","5.22","7.40","7.76","5.51"
"1674656589.244","5.24","7.37","7.76","5.59"
"1674656589.304","5.25","7.33","7.75","5.67"
"1674656589.364","5.25","7.44","7.75","5.64"
"1674656589.424","5.24","7.55","7.76","5.61"
"1674656589.484","5.24","7.66","7.76","5.58"
"1674656589.544","5.24","7.77","7.76","5.55"
"1674656589.604","5.23","7.71","7.77","5.52"
"1674656589.664","5.22","7.64","7.77","5.49"
"1674656589.724","5.22","7.57","7.78","5.46"
"1674656589.784","5.21","7.51","7.78","5.44"
"1674656589.844","5.20","7.44","7.78","5.41"
"1674656589.904","5.22","7.40","7.77","5.50"
"1674656589.964","5.23","7.37","7.75","5.59"
"1674656590.024","5.24","7.34","7.74","5.69"
"1674656590.084","5.25","7.30","7.72","5.78"
"1674656590.144","5.25","7.42","7.73","5.69"
"1674656590.204","5.24","7.53","7.73","5.61"
"1674656590.264","5.23","7.65","7.73","5.52"
"1674656590.324","5.22","7.77","7.73","5.43"
"1674656590.384","5.22","7.68","7.75","5.44"
"1674656590.444","5.22","7.59","7.77","5.45"
"1674656590.504","5.22","7.50","7.78","5.46"
"1674656590.564","5.22","7.41","7.80","5.47"
"1674656590.624","5.28","7.61","7.75","5.85"
"1674656590.684","5.28","7.63","7.75","5.72"
"1674656590.744","5.27","7.65","7.74","5.60"
"1674656590.804","5.26","7.67","7.74","5.47"
"1674656590.864","5.25","7.68","7.73","5.34"
"1674656590.924","5.26","7.62","7.75","5.40"
"1674656590.984","5.26","7.56","7.78","5.46"
"1674656591.044","5.27","7.49","7.80","5.52"
"1674656591.104","5.27","7.43","7.82","5.58"
"1674656591.164","5.27","7.45","7.81","5.65"
"1674656591.224","5.27","7.46","7.81","5.71"
"1674656591.284","5.27","7.48","7.80","5.78"
"1674656591.344","5.26","7.50","7.80","5.84"
"1674656591.404","5.26","7.49","7.81","5.71"
"1674656591.464","5.25","7.48","7.82","5.59"
"1674656591.524","5.24","7.47","7.84","5.47"
"1674656591.584","5.24","7.46","7.85","5.34"
"1674656591.644","5.25","7.39","7.85","5.40"
"1674656591.704","5.25","7.32","7.85","5.46"
"1674656591.764","5.26","7.25","7.84","5.52"
"1674656591.824","5.27","7.18","7.84","5.59"
"1674656591.884","5.26","7.22","7.83","5.61"
"1674656591.944","5.26","7.26","7.83","5.63"
"1674656592.004","5.25","7.30","7.83","5.65"
"1674656592.064","5.25","7.34","7.83","5.67"
"1674656592.124","5.24","7.34","7.84","5.58"
"1674656592.184","5.23","7.33","7.85","5.49"
"1674656592.244","5.22","7.33","7.86","5.40"
"1674656592.304","5.21","7.32","7.87","5.32"
"1674656592.364","5.22","7.29","7.84","5.39"
"1674656592.424","5.23","7.25","7.81","5.46"
"1674656592.484","5.25","7.22","7.78","5.53"
"1674656592.544","5.26","7.18","7.75","5.60"
"1674656592.604","5.26","7.22","7.75","5.59"
"1674656592.664","5.25","7.26","7.76","5.59"
"1674656592.724","5.25","7.30","7.76","5.59"
"1674656592.784","5.25","7.34","7.76","5.59"
"1674656592.844","5.24","7.37","7.76","5.58"
"1674656592.904","5.23","7.41","7.77","5.52"
"1674656592.964","5.22","7.44","7.78","5.46"
"1674656593.024","5.21","7.47","7.79","5.39"
"1674656593.084","5.20","7.50","7.80","5.33"
"1674656593.144","5.21","7.46","7.79","5.43"
"1674656593.204","5.22","7.41","7.77","5.52"
"1674656593.264","5.23","7.37","7.76","5.62"
"1674656593.324","5.23","7.33","7.75","5.72"
"1674656593.384","5.23","7.33","7.75","5.65"
"1674656593.444","5.23","7.34","7.76","5.58"
"1674656593.504","5.22","7.34","7.77","5.51"
"1674656593.564","5.22","7.35","7.78","5.44"
"1674656593.624","5.22","7.34","7.79","5.42"
"1674656593.684","5.21","7.34","7.79","5.40"
"1674656593.744","5.21","7.33","7.80","5.37"
"1674656593.804","5.21","7.32","7.80","5.35"
"1674656593.864","5.22","7.29","7.79","5.45"
"1674656593.924","5.23","7.27","7.77","5.54"
"1674656593.984","5.24","7.24","7.76","5.63"
"1674656594.044","5.25","7.21","7.74","5.73"
"1674656594.104","5.24","7.27","7.76","5.64"
"1674656594.164","5.22","7.33","7.77","5.54"
"1674656594.224","5.20","7.40","7.78","5.45"
"1674656594.284","5.19","7.46","7.80","5.36"
"1674656594.344","5.19","7.49","7.80","5.38"
"1674656594.404","5.19","7.53","7.80","5.40"
"1674656594.464","5.19","7.56","7.80","5.43"
"1674656594.524","5.19","7.60","7.80","5.45"
"1674656594.584","5.20","7.55","7.79","5.52"
"1674656594.644","5.21","7.51","7.78","5.59"
"1674656594.704","5.21","7.46","7.77","5.67"
"1674656594.764","5.22","7.42","7.75","5.74"
"1674656594.824","5.23","7.37","7.74","5.81"
"1674656594.884","5.22","7.42","7.76","5.69"
"1674656594.944","5.21","7.47","7.78","5.57"
"1674656595.004","5.20","7.52","7.79","5.45"
"1674656595.064","5.19","7.56","7.81","5.33"
"1674656595.124","5.20","7.57","7.80","5.38"
"1674656595.184","5.21","7.58","7.80","5.43"
"1674656595.244","5.22","7.59","7.80","5.49"
"1674656595.304","5.24","7.59","7.79","5.54"
"1674656595.364","5.24","7.61","7.79","5.59"
"1674656595.424","5.24","7.63","7.78","5.64"
"1674656595.484","5.24","7.65","7.77","5.69"
"1674656595.544","5.24","7.67","7.77","5.73"
"1674656595.604","5.23","7.67","7.75","5.64"
"1674656595.664","5.22","7.68","7.74","5.55"
"1674656595.724","5.22","7.69","7.73","5.46"
"1674656595.784","5.21","7.70","7.72","5.37"
"1674656595.844","5.20","7.71","7.71","5.28"
"1674656595.904","5.22","7.68","7.73","5.38"
"1674656595.964","5.23","7.65","7.75","5.47"
"1674656596.024","5.25","7.62","7.77","5.56"
"1674656596.084","5.26","7.60","7.79","5.65"
"1674656596.144","5.26","7.64","7.79","5.62"
"1674656596.204","5.26","7.68","7.80","5.60"
"1674656596.264","5.26","7.72","7.80","5.58"
"1674656596.324","5.25","7.77","7.80","5.55"
"1674656596.384","5.24","7.70","7.80","5.50"
"1674656596.444","5.22","7.63","7.79","5.45"
"1674656596.504","5.20","7.57","7.78","5.40"
"1674656596.564","5.19","7.50","7.77","5.35"
"1674656596.624","5.20","7.51","7.75","5.44"
"1674656596.684","5.22","7.52","7.73","5.54"
"1674656596.744","5.23","7.53","7.71","5.63"
"1674656596.804","5.24","7.54","7.69","5.72"
"1674656596.864","5.24","7.58","7.71","5.64"
"1674656596.924","5.24","7.62","7.73","5.56"
"1674656596.984","5.23","7.66","7.75","5.47"
"1674656597.044","5.23","7.70","7.77","5.39"
"1674656597.104","5.22","7.64","7.77","5.40"
"1674656597.164","5.22","7.57","7.76","5.41"
"1674656597.224","5.21","7.51","7.76","5.42"
"1674656597.284","5.21","7.45","7.76","5.43"
"1674656597.344","5.21","7.44","7.76","5.53"
"1674656597.404","5.22","7.43","7.76","5.62"
"1674656597.464","5.23","7.42","7.76","5.72"
"1674656597.524","5.24","7.42","7.76","5.81"
"1674656597.584","5.19","7.55","7.79","5.31"
"1674656597.644","5.21","7.49","7.78","5.37"
"1674656597.704","5.23","7.44","7.78","5.43"
"1674656597.764","5.24","7.38","7.78","5.49"
"1674656597.824","5.26","7.33","7.77","5.56"
"1674656597.884","5.26","7.35","7.77","5.60"
"1674656597.944","5.26","7.37","7.76","5.65"
"1674656598.004","5.26","7.39","7.75","5.70"
"1674656598.064","5.26","7.42","7.75","5.75"
"1674656598.124","5.24","7.44","7.76","5.63"
"1674656598.184","5.22","7.47","7.78","5.51"
"1674656598.244","5.20","7.50","7.79","5.40"
"1674656598.304","5.18","7.53","7.81","5.28"
"1674656598.364","5.19","7.47","7.80","5.36"
