"","Differential 1 - 2 Last (mV)","Differential 3 - 4 Last (mV)","Differential 5 - 6 Last (mV)","Differential 7 - 8 Last (mV)"
"1674651421","8.40","-8.16","9.88","0.19"
"1674651422","8.52","-8.17","9.96","0.15"
"1674651423","8.52","-8.26","10.14","0.22"
"1674651424","8.47","-8.22","10.04","0.18"
"1674651425","8.44","-8.12","10.07","0.11"
"1674651426","8.48","-8.25","10.03","0.25"
"1674651427","8.45","-8.45","10.04","0.23"
"1674651428","8.43","-8.34","10.19","0.14"
"1674651429","8.56","-8.29","9.98","0.12"
"1674651430","8.51","-8.11","9.97","0.29"
"1674651431","8.40","-8.01","10.22","0.24"
"1674651432","8.53","-8.07","10.20","0.13"
"1674651433","8.40","-8.04","10.19","0.18"
"1674651434","8.51","-7.97","10.02","0.11"
"1674651435","8.54","-7.76","9.85","0.22"
"1674651436","8.47","-7.67","9.91","0.17"
"1674651437","8.47","-7.67","10.23","0.17"
"1674651438","8.46","-7.59","10.06","0.09"
"1674651439","8.51","-7.87","9.89","0.07"
"1674651440","8.44","-7.84","10.01","0.15"
"1674651441","8.54","-7.83","9.95","0.18"
"1674651442","8.53","-7.88","10.01","0.11"
"1674651443","8.53","-7.94","9.94","0.15"
"1674651444","8.46","-7.93","9.83","0.25"
"1674651445","8.41","-7.82","10.05","0.19"
"1674651446","8.60","-7.81","9.93","0.18"
"1674651447","8.50","-7.82","9.98","0.14"
"1674651448","8.54","-7.75","10.04","0.06"
"1674651449","8.57","-7.82","9.92","0.10"
"1674651450","8.56","-7.98","9.98","0.25"
"1674651451","8.61","-7.96","10.07","0.18"
"1674651452","8.52","-7.73","10.09","0.13"
"1674651453","8.64","-7.75","9.98","0.22"
"1674651454","8.61","-7.80","9.84","0.22"
"1674651455","8.49","-7.85","10.01","0.10"
"1674651456","8.50","-7.97","10.12","0.11"
"1674651457","8.61","-7.90","9.93","0.09"
"1674651458","8.57","-7.82","10.01","0.27"
"1674651459","8.46","-7.99","10.04","0.22"
"1674651460","8.60","-8.05","9.89","0.23"
"1674651461","8.48","-7.85","9.85","0.13"
"1674651462","8.59","-7.75","9.80","0.16"
"1674651463","8.55","-7.88","9.92","0.20"
"1674651464","8.63","-8.17","9.83","0.27"
"1674651465","8.59","-7.96","9.81","0.27"
"1674651466","8.50","-7.77","9.88","0.22"
"1674651467","8.57","-7.76","10.01","0.28"
"1674651468","8.47","-7.82","9.96","0.19"
"1674651469","8.47","-7.89","10.01","0.08"
"1674651470","8.60","-7.75","9.87","0.06"
"1674651471","8.53","-7.66","9.75","0.23"
"1674651472","8.42","-7.79","10.00","0.21"
"1674651473","8.47","-7.76","10.03","0.14"
"1674651474","8.48","-7.74","10.01","0.04"
"1674651475","8.54","-8.00","10.03","0.03"
"1674651476","8.51","-8.18","9.90","0.03"
"1674651477","8.58","-8.17","9.86","0.01"
"1674651478","8.57","-8.23","9.86","0.10"
"1674651479","8.44","-8.06","10.08","0.15"
"1674651480","8.52","-8.01","9.81","0.34"
"1674651481","8.44","-7.97","10.18","0.32"
"1674651482","8.48","-8.15","10.03","0.23"
"1674651483","8.49","-8.02","9.96","0.22"
"1674651484","8.56","-7.84","9.97","0.26"
"1674651485","8.49","-8.10","9.91","0.30"
"1674651486","8.48","-8.06","10.01","0.25"
"1674651487","8.45","-7.97","9.84","0.25"
"1674651488","8.47","-7.97","9.89","0.22"
"1674651489","8.55","-7.92","9.95","0.18"
"1674651490","8.57","-7.87","9.98","0.18"
"1674651491","8.55","-7.94","9.89","0.16"
"1674651492","8.48","-7.91","9.81","0.22"
"1674651493","8.55","-7.88","9.96","0.30"
"1674651494","8.46","-7.85","10.05","0.17"
"1674651495","8.54","-7.71","9.92","0.10"
"1674651496","8.57","-7.82","9.86","0.19"
"1674651497","8.44","-7.79","10.08","0.26"
"1674651498","8.44","-7.85","10.01","0.24"
"1674651499","8.45","-7.74","10.04","0.15"
"1674651500","8.54","-7.74","9.89","0.25"
"1674651501","8.41","-7.66","10.04","0.18"
"1674651502","8.44","-7.83","9.95","0.18"
"1674651503","8.56","-7.92","9.97","0.12"
"1674651504","8.60","-7.86","9.90","0.09"
"1674651505","8.57","-7.80","9.86","0.23"
"1674651506","8.40","-7.87","10.03","0.27"
"1674651507","8.57","-7.97","9.85","0.27"
"1674651508","8.56","-8.05","9.88","0.24"
"1674651509","8.49","-7.85","9.89","0.19"
"1674651510","8.57","-7.87","9.86","0.17"
"1674651511","8.57","-7.88","9.78","0.17"
"1674651512","8.54","-8.11","9.91","0.21"
"1674651513","8.59","-7.86","9.82","0.21"
"1674651514","8.46","-7.93","9.95","0.27"
"1674651515","8.49","-7.94","9.92","0.20"
"1674651516","8.54","-7.99","10.08","0.15"
"1674651517","8.57","-7.91","9.84","0.16"
"1674651518","8.55","-7.90","9.79","0.20"
"1674651519","8.40","-7.82","10.10","0.16"
"1674651520","8.52","-7.76","9.80","0.22"
"1674651521","8.60","-7.84","9.90","0.19"
"1674651522","8.44","-7.82","10.05","0.08"
"1674651523","8.53","-7.87","10.04","0.10"
"1674651524","8.53","-7.74","9.88","0.15"
"1674651525","8.57","-7.88","10.00","0.21"
"1674651526","8.46","-7.75","10.00","0.17"
"1674651527","8.54","-7.61","9.86","0.22"
"1674651528","8.47","-7.76","9.96","0.23"
"1674651529","8.55","-7.82","10.00","0.16"
"1674651530","8.51","-7.88","10.02","0.12"
"1674651531","8.57","-7.82","9.71","0.17"
"1674651532","8.51","-7.79","9.83","0.30"
"1674651533","8.57","-7.89","10.00","0.27"
"1674651534","8.57","-8.17","9.92","0.27"
"1674651535","8.55","-8.08","9.88","0.29"
"1674651536","8.43","-7.91","9.84","0.24"
"1674651537","8.48","-7.72","9.85","0.26"
"1674651538","8.57","-7.83","10.02","0.25"
"1674651539","8.53","-8.01","9.89","0.26"
"1674651540","8.54","-7.71","9.94","0.08"
"1674651541","8.57","-7.63","9.69","0.15"
"1674651542","8.50","-7.76","9.75","0.26"
"1674651543","8.52","-7.99","10.06","0.21"
"1674651544","8.46","-8.22","10.01","0.17"
"1674651545","8.53","-7.89","9.75","0.22"
"1674651546","8.57","-7.78","9.85","0.21"
"1674651547","8.60","-7.80","9.97","0.13"
"1674651548","8.69","-7.73","9.96","0.06"
"1674651549","8.65","-7.75","9.87","0.22"
"1674651550","8.62","-7.85","10.00","0.27"
"1674651551","8.53","-7.89","10.06","0.21"
"1674651552","8.66","-7.87","9.94","0.11"
"1674651553","8.57","-7.75","10.04","0.12"
"1674651554","8.61","-7.73","9.85","0.17"
"1674651555","8.59","-7.84","10.08","0.25"
"1674651556","8.59","-7.78","10.14","0.16"
"1674651557","8.50","-7.84","9.99","0.14"
"1674651558","8.58","-7.79","9.91","0.11"
"1674651559","8.59","-7.75","9.91","0.14"
"1674651560","8.57","-7.71","10.00","0.08"
"1674651561","8.64","-7.89","9.82","0.19"
"1674651562","8.57","-7.63","9.94","0.33"
"1674651563","8.55","-7.74","9.96","0.31"
"1674651564","8.48","-7.86","10.02","0.20"
"1674651565","8.58","-8.04","10.02","0.20"
"1674651566","8.60","-7.71","9.95","0.18"
"1674651567","8.59","-7.66","9.96","0.18"
"1674651568","8.57","-7.78","10.08","0.16"
"1674651569","8.63","-7.68","9.92","0.28"
"1674651570","8.55","-7.81","9.99","0.30"
"1674651571","8.50","-7.81","10.07","0.26"
"1674651572","8.58","-7.75","9.93","0.18"
"1674651573","8.50","-7.74","10.16","0.16"
"1674651574","8.53","-7.80","9.92","0.13"
"1674651575","8.63","-7.75","9.80","0.15"
"1674651576","8.67","-7.63","10.04","0.26"
"1674651577","8.56","-7.78","10.05","0.19"
"1674651578","8.59","-7.66","10.05","0.14"
"1674651579","8.66","-7.57","9.96","0.11"
"1674651580","8.64","-7.63","9.95","0.01"
"1674651581","8.73","-7.79","9.93","0.04"
"1674651582","8.70","-7.80","9.92","0.10"
"1674651583","8.57","-7.66","9.99","0.10"
"1674651584","8.51","-7.74","9.90","0.08"
"1674651585","8.68","-7.90","9.88","0.15"
"1674651586","8.65","-7.97","9.94","0.17"
"1674651587","8.62","-7.87","9.99","0.07"
"1674651588","8.67","-7.75","9.77","0.20"
"1674651589","8.66","-7.88","10.09","0.23"
"1674651590","8.61","-7.94","9.96","0.15"
"1674651591","8.60","-7.71","10.05","0.12"
"1674651592","8.61","-7.49","9.80","0.13"
"1674651593","8.53","-7.64","10.16","0.19"
"1674651594","8.67","-7.81","10.11","0.12"
"1674651595","8.74","-7.65","9.90","0.09"
"1674651596","8.75","-7.69","9.74","0.20"
"1674651597","8.62","-7.68","9.84","0.31"
"1674651598","8.60","-7.71","10.09","0.22"
"1674651599","8.67","-7.74","9.91","0.10"
"1674651600","8.61","-7.93","9.82","0.18"
"1674651601","8.63","-7.99","9.87","0.13"
"1674651602","8.65","-7.93","9.84","0.13"
"1674651603","8.78","-7.93","9.80","0.20"
"1674651604","8.71","-7.87","9.86","0.26"
"1674651605","8.60","-7.69","9.78","0.16"
"1674651606","8.62","-7.47","9.78","0.20"
"1674651607","8.62","-7.51","10.00","0.20"
"1674651608","8.68","-7.48","10.00","0.12"
"1674651609","8.69","-7.58","9.83","0.27"
"1674651610","8.62","-7.58","9.69","0.25"
"1674651611","8.58","-7.50","10.08","0.20"
"1674651612","8.66","-7.54","10.04","0.11"
"1674651613","8.73","-7.63","9.84","0.08"
"1674651614","8.68","-7.62","9.88","0.07"
"1674651615","8.73","-7.69","9.72","0.22"
"1674651616","8.67","-7.66","9.91","0.23"
"1674651617","8.63","-7.52","10.05","0.04"
"1674651618","8.73","-7.63","9.82","0.12"
"1674651619","8.67","-7.60","9.75","0.16"
"1674651620","8.72","-7.48","9.83","0.24"
"1674651621","8.64","-7.74","9.99","0.18"
"1674651622","8.65","-7.68","10.02","0.07"
"1674651623","8.74","-7.69","9.79","0.19"
"1674651624","8.66","-7.38","9.71","0.20"
"1674651625","8.61","-7.56","9.92","0.19"
"1674651626","8.51","-7.48","10.10","0.13"
"1674651627","8.54","-7.55","10.03","0.11"
"1674651628","8.54","-7.58","9.86","0.16"
"1674651629","8.53","-7.32","9.79","0.21"
"1674651630","8.60","-7.40","9.79","0.24"
"1674651631","8.53","-7.57","9.90","0.27"
"1674651632","8.51","-7.46","10.01","0.20"
"1674651633","8.49","-7.38","9.88","0.12"
"1674651634","8.50","-7.37","9.98","0.29"
"1674651635","8.52","-7.38","9.94","0.24"
"1674651636","8.51","-7.52","10.06","0.24"
"1674651637","8.57","-7.48","9.94","0.18"
"1674651638","8.60","-7.40","9.93","0.20"
"1674651639","8.61","-7.51","9.99","0.19"
"1674651640","8.54","-7.64","9.96","0.11"
"1674651641","8.62","-7.85","9.85","0.15"
"1674651642","8.63","-7.74","9.89","0.19"
"1674651643","8.56","-7.64","10.01","0.21"
"1674651644","8.46","-7.59","9.97","0.22"
"1674651645","8.57","-7.48","10.06","0.20"
"1674651646","8.62","-7.38","9.89","0.15"
"1674651647","8.49","-7.63","9.98","0.24"
"1674651648","8.55","-7.61","9.86","0.25"
"1674651649","8.63","-7.49","10.06","0.08"
"1674651650","8.65","-7.53","9.90","0.03"
"1674651651","8.67","-7.55","9.85","0.15"
"1674651652","8.60","-7.35","9.92","0.12"
"1674651653","8.61","-7.31","10.06","0.11"
"1674651654","8.60","-7.52","9.88","0.22"
"1674651655","8.61","-7.39","9.97","0.10"
"1674651656","8.66","-7.62","9.84","0.10"
"1674651657","8.70","-7.62","9.71","0.21"
"1674651658","8.69","-7.68","10.00","0.26"
"1674651659","8.61","-7.69","9.94","0.21"
"1674651660","8.72","-7.82","9.75","0.16"
"1674651661","8.61","-7.72","9.94","0.19"
"1674651662","8.62","-7.60","10.05","0.15"
"1674651663","8.62","-7.74","10.11","0.12"
"1674651664","8.71","-7.68","9.86","0.08"
"1674651665","8.75","-7.55","9.77","0.04"
"1674651666","8.74","-7.69","9.71","0.16"
"1674651667","8.70","-7.61","9.93","0.13"
"1674651668","8.72","-7.61","10.02","0.08"
"1674651669","8.74","-7.75","9.82","0.16"
"1674651670","8.63","-7.47","9.99","0.13"
"1674651671","8.68","-7.37","9.95","0.14"
"1674651672","8.72","-7.52","9.70","0.20"
"1674651673","8.69","-7.47","10.05","0.17"
"1674651674","8.74","-7.37","9.79","0.15"
"1674651675","8.69","-7.46","9.92","0.23"
"1674651676","8.63","-7.48","9.93","0.16"
"1674651677","8.76","-7.48","9.89","0.14"
"1674651678","8.83","-7.58","9.80","0.13"
"1674651679","8.79","-7.41","9.74","0.20"
"1674651680","8.79","-7.40","9.69","0.15"
"1674651681","8.74","-7.32","9.80","0.18"
"1674651682","8.73","-7.53","9.85","0.24"
"1674651683","8.66","-7.39","9.97","0.10"
"1674651684","8.76","-7.48","9.87","0.12"
"1674651685","8.78","-7.30","9.91","0.22"
"1674651686","8.73","-7.48","9.86","0.35"
"1674651687","8.82","-7.48","9.89","0.27"
"1674651688","8.80","-7.41","9.87","0.22"
"1674651689","8.71","-7.40","10.01","0.20"
"1674651690","8.78","-7.27","10.04","0.21"
"1674651691","8.80","-7.40","9.93","0.20"
"1674651692","8.77","-7.39","9.82","0.28"
"1674651693","8.73","-7.36","9.86","0.16"
"1674651694","8.67","-7.42","9.73","0.24"
"1674651695","8.69","-7.42","10.06","0.26"
"1674651696","8.78","-7.42","9.80","0.16"
"1674651697","8.78","-7.56","9.73","0.23"
"1674651698","8.67","-7.38","9.94","0.21"
"1674651699","8.75","-7.27","9.79","0.17"
"1674651700","8.67","-7.47","9.83","0.17"
"1674651701","8.65","-7.40","9.92","0.08"
"1674651702","8.79","-7.49","9.85","0.06"
"1674651703","8.74","-7.51","9.85","0.07"
"1674651704","8.74","-7.56","9.68","0.19"
"1674651705","8.74","-7.65","9.89","0.15"
"1674651706","8.72","-7.56","9.96","0.04"
"1674651707","8.72","-7.42","9.94","0.03"
"1674651708","8.70","-7.51","9.93","0.01"
"1674651709","8.79","-7.55","9.94","0.03"
"1674651710","8.81","-7.72","9.80","0.07"
"1674651711","8.69","-7.53","9.89","-0.02"
"1674651712","8.78","-7.48","9.79","-0.04"
"1674651713","8.78","-7.63","9.73","0.17"
"1674651714","8.79","-7.70","9.95","0.07"
"1674651715","8.80","-7.64","9.77","0.05"
"1674651716","8.78","-7.76","9.74","0.14"
"1674651717","8.73","-7.66","9.86","0.21"
"1674651718","8.64","-7.35","9.89","0.20"
"1674651719","8.72","-7.46","9.77","0.13"
"1674651720","8.62","-7.36","9.97","0.11"
"1674651721","8.75","-7.38","9.73","0.09"
"1674651722","8.76","-7.11","9.59","0.18"
"1674651723","8.72","-7.21","9.74","0.28"
"1674651724","8.77","-7.32","9.97","0.25"
"1674651725","8.65","-7.45","9.90","0.08"
"1674651726","8.78","-7.49","9.82","0.00"
"1674651727","8.69","-7.44","9.67","0.13"
"1674651728","8.75","-7.44","9.92","0.08"
"1674651729","8.85","-7.73","9.85","0.16"
"1674651730","8.73","-7.67","9.86","0.12"
"1674651731","8.68","-7.49","9.85","0.05"
"1674651732","8.76","-7.35","9.67","0.13"
"1674651733","8.80","-7.47","9.91","0.27"
"1674651734","8.83","-7.41","9.76","0.21"
"1674651735","8.81","-7.37","9.79","0.20"
"1674651736","8.68","-7.40","9.82","0.17"
"1674651737","8.65","-7.19","9.99","0.19"
"1674651738","8.75","-7.27","9.94","0.13"
"1674651739","8.80","-7.33","9.73","0.11"
"1674651740","8.73","-7.23","9.78","0.07"
"1674651741","8.77","-7.27","9.60","0.18"
"1674651742","8.64","-7.32","9.81","0.26"
"1674651743","8.65","-7.29","9.97","0.10"
"1674651744","8.70","-7.37","9.82","0.05"
"1674651745","8.75","-7.09","9.57","0.09"
"1674651746","8.76","-7.14","9.73","0.20"
"1674651747","8.73","-7.25","9.78","0.12"
"1674651748","8.79","-7.38","9.78","0.22"
"1674651749","8.79","-7.25","9.73","0.22"
"1674651750","8.68","-7.20","9.95","0.23"
"1674651751","8.71","-7.09","9.81","0.22"
"1674651752","8.77","-7.19","9.94","0.22"
"1674651753","8.83","-7.37","9.73","0.32"
"1674651754","8.79","-7.10","9.84","0.29"
"1674651755","8.82","-7.15","9.85","0.32"
"1674651756","8.72","-7.34","9.76","0.33"
"1674651757","8.70","-7.31","9.90","0.24"
"1674651758","8.72","-7.28","9.77","0.12"
"1674651759","8.81","-7.11","9.51","0.17"
"1674651760","8.81","-7.34","9.78","0.15"
"1674651761","8.88","-7.51","9.69","0.17"
"1674651762","8.81","-7.39","9.78","0.19"
"1674651763","8.74","-7.38","9.89","0.14"
"1674651764","8.80","-7.32","9.67","0.05"
"1674651765","8.81","-7.50","9.65","0.08"
"1674651766","8.76","-7.57","9.81","0.15"
"1674651767","8.85","-7.59","9.62","0.09"
"1674651768","8.72","-7.48","9.71","0.16"
"1674651769","8.70","-7.36","10.01","0.19"
"1674651770","8.77","-7.51","9.89","0.17"
"1674651771","8.82","-7.47","9.79","0.09"
"1674651772","8.84","-7.61","9.74","0.20"
"1674651773","8.77","-7.50","9.58","0.29"
"1674651774","8.82","-7.36","9.89","0.32"
"1674651775","8.78","-7.34","9.86","0.21"
"1674651776","8.73","-7.23","9.86","0.10"
"1674651777","8.79","-7.17","9.63","0.11"
"1674651778","8.82","-7.18","9.92","0.18"
"1674651779","8.79","-7.22","9.86","0.29"
"1674651780","8.83","-7.18","9.87","0.26"
"1674651781","8.89","-7.15","9.71","0.15"
"1674651782","8.74","-7.05","9.89","0.21"
"1674651783","8.72","-7.04","10.01","0.16"
"1674651784","8.78","-7.23","9.82","0.14"
"1674651785","8.84","-7.17","9.78","0.10"
"1674651786","8.86","-7.15","9.71","0.12"
"1674651787","8.83","-6.94","9.76","0.14"
"1674651788","8.90","-7.00","9.88","0.19"
"1674651789","8.86","-7.06","9.81","0.21"
"1674651790","8.80","-7.05","9.75","0.16"
"1674651791","8.77","-7.05","9.83","0.12"
"1674651792","8.83","-7.16","9.60","0.24"
"1674651793","8.79","-7.33","9.77","0.29"
"1674651794","8.84","-7.36","9.71","0.16"
"1674651795","8.84","-7.15","9.61","0.32"
"1674651796","8.73","-7.09","9.86","0.26"
"1674651797","8.76","-7.14","10.00","0.23"
"1674651798","8.80","-7.30","9.88","0.26"
"1674651799","8.76","-7.11","9.81","0.28"
"1674651800","8.73","-7.04","9.86","0.12"
"1674651801","8.72","-7.09","9.99","0.16"
"1674651802","8.84","-7.11","9.88","0.21"
"1674651803","8.78","-7.28","9.77","0.22"
"1674651804","8.73","-7.07","9.87","0.10"
"1674651805","8.83","-7.02","9.68","0.11"
"1674651806","8.86","-7.12","9.72","0.25"
"1674651807","8.84","-7.24","9.95","0.04"
"1674651808","8.91","-7.37","9.70","0.12"
"1674651809","8.77","-7.22","9.87","0.15"
"1674651810","8.77","-7.08","9.88","0.18"
"1674651811","8.87","-7.24","9.93","0.19"
"1674651812","8.92","-7.40","9.70","0.19"
"1674651813","8.84","-7.18","9.85","0.17"
"1674651814","8.84","-7.07","9.84","0.11"
"1674651815","8.89","-7.10","9.71","0.24"
"1674651816","8.81","-7.24","9.94","0.17"
"1674651817","8.79","-7.34","9.88","0.14"
"1674651818","8.84","-7.25","9.86","0.15"
"1674651819","8.92","-7.02","9.68","0.14"
"1674651820","8.91","-7.14","9.73","0.18"
"1674651821","8.94","-7.31","9.90","0.04"
"1674651822","8.95","-7.28","9.73","0.16"
"1674651823","8.88","-7.26","9.82","0.29"
"1674651824","8.80","-7.13","9.90","0.26"
"1674651825","8.81","-7.28","9.93","0.30"
"1674651826","8.85","-7.35","9.93","0.18"
"1674651827","8.78","-7.23","9.90","0.13"
"1674651828","8.85","-7.00","9.61","0.10"
"1674651829","8.90","-7.04","9.67","0.16"
"1674651830","8.91","-7.19","9.88","0.20"
"1674651831","8.85","-7.21","9.84","0.17"
"1674651832","8.88","-6.99","9.68","0.08"
"1674651833","8.92","-7.07","9.60","0.12"
"1674651834","8.91","-7.24","9.70","0.13"
"1674651835","8.98","-7.30","9.81","0.22"
"1674651836","8.84","-7.15","9.83","0.18"
"1674651837","8.79","-7.13","9.68","0.15"
"1674651838","8.86","-6.93","9.86","0.13"
"1674651839","8.90","-7.08","9.69","0.28"
"1674651840","8.77","-7.02","9.83","0.17"
"1674651841","8.93","-6.95","9.69","0.20"
"1674651842","8.81","-7.01","9.75","0.16"
"1674651843","8.79","-7.14","9.85","0.14"
"1674651844","8.92","-7.21","9.83","0.10"
"1674651845","8.86","-7.28","9.81","0.20"
"1674651846","8.81","-7.18","9.68","0.13"
"1674651847","8.86","-7.06","9.53","0.21"
"1674651848","8.89","-7.25","9.65","0.29"
"1674651849","8.76","-7.21","10.00","0.17"
"1674651850","8.89","-7.29","9.75","0.10"
"1674651851","8.90","-7.31","9.51","0.21"
"1674651852","8.86","-7.18","9.87","0.24"
"1674651853","8.82","-7.28","9.99","0.26"
"1674651854","8.93","-7.41","9.81","0.20"
"1674651855","8.89","-7.31","9.64","0.23"
"1674651856","8.80","-7.24","9.67","0.18"
"1674651857","8.84","-7.25","9.90","0.20"
"1674651858","8.86","-7.27","10.02","0.10"
"1674651859","8.95","-7.22","9.81","0.10"
"1674651860","8.97","-7.11","9.51","0.24"
"1674651861","8.91","-7.39","9.72","0.19"
"1674651862","8.98","-7.24","9.63","0.30"
"1674651863","8.89","-7.19","9.77","0.24"
"1674651864","8.86","-7.18","9.87","0.17"
"1674651865","8.90","-7.12","9.60","0.10"
"1674651866","8.95","-6.99","9.58","0.25"
"1674651867","8.96","-7.09","9.92","0.18"
"1674651868","8.95","-7.24","9.84","0.12"
"1674651869","8.95","-7.24","9.78","0.20"
"1674651870","8.92","-7.22","9.62","0.30"
"1674651871","8.88","-7.04","10.00","0.18"
"1674651872","8.98","-7.03","9.85","0.21"
"1674651873","8.95","-7.14","9.77","0.26"
"1674651874","9.00","-6.84","9.76","0.21"
"1674651875","9.00","-6.96","9.63","0.28"
"1674651876","8.85","-7.04","9.80","0.15"
"1674651877","8.95","-6.98","9.84","0.05"
"1674651878","9.02","-7.02","9.58","0.07"
"1674651879","9.04","-7.07","9.75","0.17"
"1674651880","8.88","-7.18","9.81","0.18"
"1674651881","9.01","-7.24","9.67","0.19"
"1674651882","8.96","-7.08","9.70","0.15"
"1674651883","8.89","-7.03","9.86","0.16"
"1674651884","9.05","-7.06","9.57","0.19"
"1674651885","9.05","-7.05","9.68","0.26"
"1674651886","8.89","-7.13","9.89","0.09"
"1674651887","8.93","-7.06","9.75","0.15"
"1674651888","8.95","-6.92","9.81","0.10"
"1674651889","9.01","-6.96","9.56","0.30"
"1674651890","8.98","-7.01","9.73","0.26"
"1674651891","8.89","-6.99","9.79","0.16"
"1674651892","8.93","-6.85","9.63","0.08"
"1674651893","9.02","-6.94","9.72","0.15"
"1674651894","8.99","-6.99","9.75","0.09"
"1674651895","8.97","-7.21","9.63","0.17"
"1674651896","8.94","-7.17","9.64","0.10"
"1674651897","8.87","-7.15","9.79","0.08"
"1674651898","8.94","-7.16","9.85","0.05"
"1674651899","9.00","-7.30","9.79","0.11"
"1674651900","9.00","-7.44","9.68","0.16"
"1674651901","8.96","-7.36","9.59","0.06"
"1674651902","8.92","-7.20","9.67","0.17"
"1674651903","8.95","-7.28","9.75","0.28"
"1674651904","8.84","-7.29","9.81","0.14"
"1674651905","8.90","-7.41","9.74","0.08"
"1674651906","8.93","-7.21","9.51","0.14"
"1674651907","8.86","-7.17","9.73","0.15"
"1674651908","8.95","-7.19","9.77","0.15"
"1674651909","8.93","-7.21","9.66","0.18"
"1674651910","8.84","-6.99","9.69","0.18"
"1674651911","8.81","-6.97","9.83","0.16"
"1674651912","8.84","-7.02","9.88","0.15"
"1674651913","8.95","-7.02","9.63","0.18"
"1674651914","8.85","-7.02","9.72","0.10"
"1674651915","8.91","-6.87","9.47","0.28"
"1674651916","8.83","-7.01","9.78","0.27"
"1674651917","8.83","-6.99","9.91","0.17"
"1674651918","8.90","-7.17","9.66","0.12"
"1674651919","8.93","-7.02","9.57","0.27"
"1674651920","8.84","-7.09","9.74","0.27"
"1674651921","8.90","-6.91","9.62","0.31"
"1674651922","8.79","-6.99","9.87","0.35"
"1674651923","8.84","-6.89","9.75","0.18"
"1674651924","8.92","-6.80","9.45","0.27"
"1674651925","8.85","-6.84","9.72","0.37"
"1674651926","8.81","-6.78","9.91","0.24"
"1674651927","8.79","-6.82","9.91","0.13"
"1674651928","8.92","-6.83","9.71","0.10"
"1674651929","8.92","-6.68","9.42","0.17"
"1674651930","8.93","-6.78","9.65","0.20"
"1674651931","8.81","-6.93","9.67","0.18"
"1674651932","8.81","-6.90","9.81","0.13"
"1674651933","8.86","-7.00","9.70","0.02"
"1674651934","8.86","-6.76","9.83","0.13"
"1674651935","8.98","-6.79","9.65","0.15"
"1674651936","8.97","-7.00","9.82","0.15"
"1674651937","9.01","-7.01","9.80","0.17"
"1674651938","8.89","-6.96","9.80","0.11"
"1674651939","8.89","-6.93","9.60","0.11"
"1674651940","8.92","-7.02","9.75","0.10"
"1674651941","8.88","-7.04","9.94","0.11"
"1674651942","9.03","-6.93","9.72","0.05"
"1674651943","9.02","-7.03","9.53","0.10"
"1674651944","9.02","-7.14","9.70","0.28"
"1674651945","8.90","-7.04","9.75","0.24"
"1674651946","8.88","-6.92","9.92","0.11"
"1674651947","8.95","-6.82","9.73","0.02"
"1674651948","8.93","-6.96","9.81","0.11"
"1674651949","8.91","-6.85","9.67","0.12"
"1674651950","8.95","-6.95","9.75","0.08"
"1674651951","9.02","-7.00","9.71","0.06"
"1674651952","9.00","-6.99","9.54","0.18"
"1674651953","8.96","-6.92","9.71","0.24"
"1674651954","8.91","-6.87","9.66","0.30"
"1674651955","8.90","-6.95","9.77","0.23"
"1674651956","8.92","-6.72","9.81","0.04"
"1674651957","9.00","-6.67","9.66","0.08"
"1674651958","8.99","-6.88","9.69","0.26"
"1674651959","8.88","-6.74","9.65","0.22"
"1674651960","8.85","-6.94","9.69","0.17"
"1674651961","8.98","-7.02","9.61","0.20"
"1674651962","8.95","-7.10","9.69","0.21"
"1674651963","8.86","-7.05","9.82","0.19"
"1674651964","8.99","-6.86","9.74","0.19"
"1674651965","8.97","-6.93","9.66","0.22"
"1674651966","8.98","-7.07","9.60","0.20"
"1674651967","8.89","-6.89","9.68","0.19"
"1674651968","8.98","-6.89","9.40","0.23"
"1674651969","8.79","-6.79","9.80","0.24"
"1674651970","8.84","-6.77","9.82","0.25"
"1674651971","9.01","-6.70","9.63","0.17"
"1674651972","9.00","-6.85","9.61","0.16"
"1674651973","8.97","-6.64","9.64","0.23"
"1674651974","8.98","-6.76","9.50","0.17"
"1674651975","9.01","-6.77","9.68","0.29"
"1674651976","8.92","-6.78","9.86","0.21"
"1674651977","8.92","-6.64","9.75","0.14"
"1674651978","8.93","-6.72","9.79","0.16"
"1674651979","8.94","-6.66","9.68","0.18"
"1674651980","9.00","-6.66","9.62","0.18"
"1674651981","8.94","-6.69","9.77","0.12"
"1674651982","9.02","-6.88","9.63","0.18"
"1674651983","8.96","-6.80","9.84","0.24"
"1674651984","8.87","-6.63","9.67","0.24"
"1674651985","8.93","-6.73","9.76","0.21"
"1674651986","8.98","-6.91","9.86","0.16"
"1674651987","9.03","-6.76","9.66","0.12"
"1674651988","8.95","-6.87","9.53","0.12"
"1674651989","8.93","-6.74","9.68","0.18"
"1674651990","8.99","-6.80","9.84","0.16"
"1674651991","9.08","-6.97","9.61","0.23"
"1674651992","8.99","-6.81","9.67","0.22"
"1674651993","8.96","-6.68","9.77","0.18"
"1674651994","8.91","-6.76","9.80","0.39"
"1674651995","9.00","-6.71","9.80","0.34"
"1674651996","8.94","-6.85","9.69","0.37"
"1674651997","8.87","-6.73","9.79","0.21"
"1674651998","8.93","-6.71","9.60","0.18"
"1674651999","8.98","-6.73","9.61","0.20"
"1674652000","9.01","-6.82","9.66","0.20"
