"","Differential 5 - 6 Last (mV)","Differential 7 - 8 Last (mV)","Differential 9 - 10 Last (mV)"
"1674049850","-56.02","0.01","-3.29"
"1674049851","-56.02","-0.14","-3.28"
"1674049852","-56.01","0.07","-3.28"
"1674049853","-56.01","0.17","-3.28"
"1674049854","-56.01","-0.06","-3.29"
"1674049855","-56.00","-0.24","-3.29"
"1674049856","-56.00","0.16","-3.29"
"1674049857","-55.99","0.16","-3.28"
"1674049858","-55.98","-0.17","-3.28"
"1674049859","-55.98","-0.08","-3.27"
"1674049860","-55.98","0.06","-3.27"
"1674049861","-55.98","0.09","-3.25"
"1674049862","-55.98","-0.12","-3.25"
"1674049863","-55.98","-0.13","-3.24"
"1674049864","-55.99","0.31","-3.24"
"1674049865","-55.99","0.04","-3.25"
"1674049866","-55.99","-0.06","-3.25"
"1674049867","-55.99","0.01","-3.25"
"1674049868","-56.00","0.11","-3.24"
"1674049869","-55.99","-0.02","-3.24"
"1674049870","-55.99","-0.13","-3.24"
"1674049871","-55.99","-0.10","-3.23"
"1674049872","-55.98","0.09","-3.22"
"1674049873","-55.97","-0.01","-3.20"
"1674049874","-55.98","-0.10","-3.19"
"1674049875","-55.98","-0.09","-3.18"
"1674049876","-55.99","0.15","-3.19"
"1674049877","-56.00","-0.14","-3.18"
"1674049878","-56.00","0.01","-3.17"
"1674049879","-56.02","0.14","-3.17"
"1674049880","-56.02","0.21","-3.17"
"1674049881","-56.03","-0.26","-3.17"
"1674049882","-56.03","0.03","-3.16"
"1674049883","-56.03","-0.05","-3.16"
"1674049884","-56.03","0.06","-3.15"
"1674049885","-56.04","-0.09","-3.14"
"1674049886","-56.04","0.10","-3.14"
"1674049887","-56.04","0.01","-3.13"
"1674049888","-56.04","-0.08","-3.13"
"1674049889","-56.04","0.02","-3.12"
"1674049890","-56.04","0.07","-3.12"
"1674049891","-56.04","-0.04","-3.12"
"1674049892","-56.04","-0.05","-3.11"
"1674049893","-56.04","0.06","-3.11"
"1674049894","-56.05","0.01","-3.10"
"1674049895","-56.05","-0.08","-3.10"
"1674049896","-56.05","0.02","-3.10"
"1674049897","-56.05","0.07","-3.09"
"1674049898","-56.05","-0.11","-3.09"
"1674049899","-56.05","-0.08","-3.09"
"1674049900","-56.05","0.04","-3.09"
"1674049901","-56.05","0.09","-3.09"
"1674049902","-56.05","-0.08","-3.09"
"1674049903","-56.05","0.02","-3.09"
"1674049904","-56.05","0.07","-3.08"
