"","Differential 5 - 6 Last (µV)","Differential 5 - 6 Ave. (µV)","Single-ended 7 Last (µV)","Single-ended 7 Ave. (µV)"
"00:01:30","1804,820728","1804,820728","-407,826505","-407,826505"
"00:01:31","1531,880349","1531,880349","-43,213298","-43,213298"
"00:01:32","3363,379277","3363,379277","3032,976761","3032,976761"
"00:01:33","5276,096985","5276,096985","2656,305442","2656,305442"
"00:01:34","5803,337321","5803,337321","3461,817279","3461,817279"
"00:01:35","4959,175829","4959,175829","2860,035747","2860,035747"
"00:01:36","4296,367988","4296,367988","2231,950639","2231,950639"
"00:01:37","3675,395157","3675,395157","1679,681940","1679,681940"
"00:01:38","3233,063268","3233,063268","1387,523254","1387,523254"
"00:01:39","2803,145209","2803,145209","1104,814350","1104,814350"
"00:01:40","2446,695929","2446,695929","916,590972","916,590972"
"00:01:41","2205,415862","2205,415862","774,195767","774,195767"
"00:01:42","2019,364387","2019,364387","646,967441","646,967441"
"00:01:43","1814,833726","1814,833726","515,107939","515,107939"
"00:01:44","1640,269649","1640,269649","415,650371","415,650371"
"00:01:45","1553,945942","1553,945942","340,045721","340,045721"
"00:01:46","1472,907141","1472,907141","283,822068","283,822068"
"00:01:47","1394,663705","1394,663705","209,866514","209,866514"
"00:01:48","1313,112094","1313,112094","147,175204","147,175204"
"00:01:49","1263,468293","1263,468293","122,656187","122,656187"
"00:01:50","1252,548769","1252,548769","117,017422","117,017422"
"00:01:51","1246,930566","1246,930566","131,301640","131,301640"
"00:01:52","1243,952429","1243,952429","136,026516","136,026516"
"00:01:53","1241,657068","1241,657068","151,763263","151,763263"
"00:01:54","1237,756456","1237,756456","169,938838","169,938838"
"00:01:55","1254,231785","1254,231785","180,500399","180,500399"
"00:01:56","1270,340406","1270,340406","207,920501","207,920501"
"00:01:57","1295,861672","1295,861672","220,296570","220,296570"
"00:01:58","1319,388393","1319,388393","235,039726","235,039726"
"00:01:59","1330,736326","1330,736326","238,784298","238,784298"
"00:02:00","1352,884341","1352,884341","243,347778","243,347778"
"00:02:01","1721,218810","1721,218810","594,133744","594,133744"
"00:02:02","2442,855854","2442,855854","252,842699","252,842699"
"00:02:03","3162,649693","3162,649693","-1105,783274","-1105,783274"
"00:02:04","2725,737402","2725,737402","-1328,607672","-1328,607672"
"00:02:05","2208,968392","2208,968392","-1382,529386","-1382,529386"
"00:02:06","1093,190047","1093,190047","-1320,985029","-1320,985029"
"00:02:07","75,486452","75,486452","-387,861684","-387,861684"
"00:02:08","-49,810460","-49,810460","116,826144","116,826144"
"00:02:09","23,105009","23,105009","356,982608","356,982608"
"00:02:10","164,490979","164,490979","483,952987","483,952987"
"00:02:11","301,601132","301,601132","568,410556","568,410556"
"00:02:12","456,261478","456,261478","628,279173","628,279173"
"00:02:13","594,777288","594,777288","674,926850","674,926850"
"00:02:14","711,264031","711,264031","684,804982","684,804982"
"00:02:15","812,770566","812,770566","694,880378","694,880378"
"00:02:16","894,116936","894,116936","692,646136","692,646136"
"00:02:17","966,167019","966,167019","676,459749","676,459749"
"00:02:18","1034,099841","1034,099841","670,292298","670,292298"
"00:02:19","1096,907421","1096,907421","653,498224","653,498224"
"00:02:20","1148,592797","1148,592797","640,584156","640,584156"
"00:02:21","1195,395947","1195,395947","626,514491","626,514491"
"00:02:22","1252,092421","1252,092421","609,932235","609,932235"
"00:02:23","1286,158222","1286,158222","599,818304","599,818304"
"00:02:24","1317,456365","1317,456365","578,798121","578,798121"
"00:02:25","1341,669238","1341,669238","573,417696","573,417696"
"00:02:26","1377,922017","1377,922017","558,476662","558,476662"
"00:02:27","1406,366937","1406,366937","549,767399","549,767399"
"00:02:28","1424,538554","1424,538554","539,786997","539,786997"
"00:02:29","1455,590245","1455,590245","527,324562","527,324562"
"00:02:30","1473,450335","1473,450335","524,402945","524,402945"
"00:02:31","1492,685988","1492,685988","510,319311","510,319311"
"00:02:32","1505,808556","1505,808556","507,227611","507,227611"
"00:02:33","1513,923984","1513,923984","502,655457","502,655457"
"00:02:34","1504,852087","1504,852087","497,285684","497,285684"
"00:02:35","1503,547071","1503,547071","494,298933","494,298933"
"00:02:36","1547,420514","1547,420514","463,914010","463,914010"
"00:02:37","1543,994062","1543,994062","467,041566","467,041566"
"00:02:38","1515,129465","1515,129465","384,856336","384,856336"
"00:02:39","1502,316329","1502,316329","421,920762","421,920762"
"00:02:40","1508,038840","1508,038840","420,077064","420,077064"
"00:02:41","1521,497499","1521,497499","445,014506","445,014506"
"00:02:42","1525,616623","1525,616623","443,404570","443,404570"
"00:02:43","1536,340918","1536,340918","440,373289","440,373289"
"00:02:44","1540,106721","1540,106721","436,165807","436,165807"
"00:02:45","1543,581602","1543,581602","438,764022","438,764022"
"00:02:46","1549,826819","1549,826819","442,837365","442,837365"
"00:02:47","1547,444495","1547,444495","465,047080","465,047080"
"00:02:48","1551,488531","1551,488531","466,884812","466,884812"
"00:02:49","1536,321710","1536,321710","431,965629","431,965629"
"00:02:50","1543,535851","1543,535851","481,022929","481,022929"
"00:02:51","1540,521160","1540,521160","470,727013","470,727013"
"00:02:52","1536,224037","1536,224037","456,429523","456,429523"
"00:02:53","1532,572438","1532,572438","428,104831","428,104831"
"00:02:54","1539,318357","1539,318357","486,312347","486,312347"
"00:02:55","1540,828729","1540,828729","455,576723","455,576723"
"00:02:56","1533,811097","1533,811097","457,031245","457,031245"
"00:02:57","1535,942429","1535,942429","455,354893","455,354893"
"00:02:58","1527,557964","1527,557964","450,279331","450,279331"
"00:02:59","1522,574108","1522,574108","474,838860","474,838860"
