"","Single-ended 7 Last (µV)","Single-ended 7 Ave. (µV)","Single-ended 8 Last (µV)","Single-ended 8 Ave. (µV)"
"00:01:24","1719,286200","1719,286200","-5299,319513","-5299,319513"
"00:01:25","1544,314087","1544,314087","-4832,012113","-4832,012113"
"00:01:26","1356,086228","1356,086228","-4406,658467","-4406,658467"
"00:01:27","1209,440525","1209,440525","-4076,407757","-4076,407757"
"00:01:28","1121,954410","1121,954410","-3790,651681","-3790,651681"
"00:01:29","1045,284211","1045,284211","-3462,346504","-3462,346504"
"00:01:30","959,412311","959,412311","-3139,876761","-3139,876761"
"00:01:31","880,436040","880,436040","-2972,492017","-2972,492017"
"00:01:32","787,173864","787,173864","-2795,775654","-2795,775654"
"00:01:33","713,877031","713,877031","-2657,725243","-2657,725243"
"00:01:34","659,954152","659,954152","-2558,768727","-2558,768727"
"00:01:35","619,487837","619,487837","-2469,047438","-2469,047438"
"00:01:36","623,140251","623,140251","-2294,339240","-2294,339240"
"00:01:37","556,939864","556,939864","-2192,269778","-2192,269778"
"00:01:38","513,159670","513,159670","-2161,536831","-2161,536831"
"00:01:39","467,716891","467,716891","-2059,530467","-2059,530467"
"00:01:40","431,059161","431,059161","-1972,486963","-1972,486963"
"00:01:41","390,351110","390,351110","-1869,684784","-1869,684784"
"00:01:42","323,641201","323,641201","-1749,211922","-1749,211922"
"00:01:43","295,534235","295,534235","-1697,550528","-1697,550528"
"00:01:44","250,865065","250,865065","-1596,009010","-1596,009010"
"00:01:45","188,536549","188,536549","-1547,914464","-1547,914464"
"00:01:46","","","",""
"00:01:47","-18547,145650","-18547,145650","",""
"00:01:48","102530,449629","102530,449629","-92674,285173","-92674,285173"
"00:01:49","-18321,720883","-18321,720883","-91330,312192","-91330,312192"
"00:01:50","-14292,476699","-14292,476699","114681,974053","114681,974053"
"00:01:51","-59307,418764","-59307,418764","-38026,548922","-38026,548922"
"00:01:52","8899,586275","8899,586275","1397,590269","1397,590269"
"00:01:53","-18024,593592","-18024,593592","-101220,577955","-101220,577955"
"00:01:54","-8152,599446","-8152,599446","-86962,476373","-86962,476373"
"00:01:55","-5056,369584","-5056,369584","",""
"00:01:56","-22596,988827","-22596,988827","",""
"00:01:57","86463,846266","86463,846266","-19804,768264","-19804,768264"
"00:01:58","75413,957238","75413,957238","-84716,700017","-84716,700017"
"00:01:59","14453,777112","14453,777112","-117205,739021","-117205,739021"
"00:02:00","-7918,549702","-7918,549702","-44890,116900","-44890,116900"
"00:02:01","-9304,751642","-9304,751642","-54241,415113","-54241,415113"
"00:02:02","23152,351379","23152,351379","-29213,828966","-29213,828966"
"00:02:03","73174,670339","73174,670339","-6613,478065","-6613,478065"
"00:02:04","73333,404958","73333,404958","-52184,596658","-52184,596658"
"00:02:05","30998,654664","30998,654664","52422,210574","52422,210574"
"00:02:06","8322,822861","8322,822861","80478,779972","80478,779972"
"00:02:07","2587,374067","2587,374067","55243,015289","55243,015289"
"00:02:08","34953,832626","34953,832626","74758,507311","74758,507311"
"00:02:09","39244,249463","39244,249463","48125,836998","48125,836998"
"00:02:10","18864,775077","18864,775077","32542,668283","32542,668283"
"00:02:11","-21149,449050","-21149,449050","-55919,729173","-55919,729173"
"00:02:12","3675,032640","3675,032640","-64337,208867","-64337,208867"
"00:02:13","-739,239098","-739,239098","-79803,176224","-79803,176224"
"00:02:14","-5377,987400","-5377,987400","-73603,622615","-73603,622615"
"00:02:15","-13080,604374","-13080,604374","-56942,425668","-56942,425668"
"00:02:16","-27282,284573","-27282,284573","-58713,428676","-58713,428676"
"00:02:17","-63448,674977","-63448,674977","-20622,208714","-20622,208714"
"00:02:18","7194,496691","7194,496691","13381,754048","13381,754048"
"00:02:19","16190,927476","16190,927476","-56445,345283","-56445,345283"
"00:02:20","23071,728647","23071,728647","-30831,618235","-30831,618235"
"00:02:21","31852,412969","31852,412969","-18672,931939","-18672,931939"
"00:02:22","44044,755399","44044,755399","-10107,918642","-10107,918642"
"00:02:23","51238,249987","51238,249987","-4640,942439","-4640,942439"
"00:02:24","57799,283415","57799,283415","-361,329177","-361,329177"
"00:02:25","52405,670285","52405,670285","-15969,073400","-15969,073400"
"00:02:26","52184,950560","52184,950560","-35649,094731","-35649,094731"
"00:02:27","49831,032753","49831,032753","-51320,031285","-51320,031285"
"00:02:28","45135,375112","45135,375112","-51913,522184","-51913,522184"
"00:02:29","32966,352999","32966,352999","-62788,583338","-62788,583338"
"00:02:30","15265,149064","15265,149064","-86277,097464","-86277,097464"
"00:02:31","4710,806534","4710,806534","-112851,947546","-112851,947546"
"00:02:32","10843,665339","10843,665339","",""
"00:02:33","87282,784283","87282,784283","",""
"00:02:34","-38084,946573","-38084,946573","60054,264963","60054,264963"
"00:02:35","65501,809120","65501,809120","110353,268683","110353,268683"
"00:02:36","46928,144991","46928,144991","113800,100982","113800,100982"
"00:02:37","30397,823080","30397,823080","90516,887605","90516,887605"
"00:02:38","26439,879090","26439,879090","80629,289150","80629,289150"
"00:02:39","20563,010126","20563,010126","65260,775387","65260,775387"
"00:02:40","15058,401972","15058,401972","50406,947732","50406,947732"
"00:02:41","9368,166327","9368,166327","36773,107946","36773,107946"
"00:02:42","5729,791243","5729,791243","26326,324791","26326,324791"
"00:02:43","4572,711419","4572,711419","18038,935959","18038,935959"
"00:02:44","5979,767535","5979,767535","11687,837541","11687,837541"
"00:02:45","9261,220694","9261,220694","5882,543977","5882,543977"
"00:02:46","12367,988005","12367,988005","-2891,064854","-2891,064854"
"00:02:47","-17579,911277","-17579,911277","-87407,439947","-87407,439947"
"00:02:48","9639,208205","9639,208205","-41819,490492","-41819,490492"
"00:02:49","18729,183823","18729,183823","-133739,411831","-133739,411831"
"00:02:50","28418,881819","28418,881819","-94815,753400","-94815,753400"
"00:02:51","41779,126972","41779,126972","-75649,395585","-75649,395585"
"00:02:52","41052,896529","41052,896529","-56466,128677","-56466,128677"
"00:02:53","34461,900592","34461,900592","-28518,050909","-28518,050909"
"00:02:54","32028,578222","32028,578222","-17195,433378","-17195,433378"
"00:02:55","30230,686069","30230,686069","-5931,163207","-5931,163207"
"00:02:56","24608,056992","24608,056992","506,959506","506,959506"
"00:02:57","22723,332047","22723,332047","669,460802","669,460802"
"00:02:58","22301,550955","22301,550955","-2169,362269","-2169,362269"
"00:02:59","22751,452401","22751,452401","-6541,103590","-6541,103590"
"00:03:00","27879,701927","27879,701927","-10208,191350","-10208,191350"
"00:03:01","49095,664173","49095,664173","112540,423870","112540,423870"
"00:03:02","33432,669938","33432,669938","111520,312726","111520,312726"
"00:03:03","6359,339692","6359,339692","102712,757885","102712,757885"
"00:03:04","-10529,574938","-10529,574938","78462,406993","78462,406993"
"00:03:05","-17947,392538","-17947,392538","61989,981681","61989,981681"
"00:03:06","-22671,811283","-22671,811283","49141,578376","49141,578376"
"00:03:07","-24359,390140","-24359,390140","41704,285890","41704,285890"
"00:03:08","-23938,409984","-23938,409984","37875,022739","37875,022739"
"00:03:09","-24266,272783","-24266,272783","33665,761352","33665,761352"
"00:03:10","-19312,597811","-19312,597811","30641,963705","30641,963705"
"00:03:11","-5594,749935","-5594,749935","28136,663139","28136,663139"
"00:03:12","-376,641663","-376,641663","22843,960673","22843,960673"
"00:03:13","2926,517511","2926,517511","20282,616839","20282,616839"
"00:03:14","5000,438076","5000,438076","19955,737516","19955,737516"
"00:03:15","6587,717682","6587,717682","15626,845881","15626,845881"
"00:03:16","6591,318175","6591,318175","11553,949676","11553,949676"
"00:03:17","10297,607630","10297,607630","7365,206722","7365,206722"
"00:03:18","11656,442657","11656,442657","15336,838551","15336,838551"
"00:03:19","5584,931001","5584,931001","-8805,806749","-8805,806749"
"00:03:20","28813,004494","28813,004494","-64224,831760","-64224,831760"
"00:03:21","34957,144409","34957,144409","-69455,072284","-69455,072284"
"00:03:22","38148,161024","38148,161024","-66905,871034","-66905,871034"
"00:03:23","47686,286271","47686,286271","-54205,030203","-54205,030203"
"00:03:24","53903,210908","53903,210908","-42345,199734","-42345,199734"
"00:03:25","59043,925256","59043,925256","-33121,895045","-33121,895045"
"00:03:26","64544,945955","64544,945955","-22960,556671","-22960,556671"
"00:03:27","67798,964679","67798,964679","-14548,775740","-14548,775740"
"00:03:28","66564,939916","66564,939916","-9872,837923","-9872,837923"
"00:03:29","59004,373848","59004,373848","-24012,243375","-24012,243375"
"00:03:30","95739,491284","95739,491284","-24337,984622","-24337,984622"
"00:03:31","","","",""
"00:03:32","","","-37656,720728","-37656,720728"
"00:03:33","","","15565,886162","15565,886162"
"00:03:34","","","-10098,241270","-10098,241270"
"00:03:35","-295,736303","-295,736303","-24401,646107","-24401,646107"
"00:03:36","72251,580656","72251,580656","-39315,685630","-39315,685630"
"00:03:37","-96984,580159","-96984,580159","-129146,799445","-129146,799445"
"00:03:38","-65446,496010","-65446,496010","-145211,085677","-145211,085677"
"00:03:39","-37384,681404","-37384,681404","-127404,302359","-127404,302359"
"00:03:40","-45123,282820","-45123,282820","-58050,606400","-58050,606400"
"00:03:41","-25258,958340","-25258,958340","-49800,820649","-49800,820649"
"00:03:42","-55704,131722","-55704,131722","-45275,643468","-45275,643468"
"00:03:43","-82184,739411","-82184,739411","-39899,036288","-39899,036288"
"00:03:44","-13891,629875","-13891,629875","-38021,471351","-38021,471351"
"00:03:45","-8290,411904","-8290,411904","-40642,060339","-40642,060339"
"00:03:46","6333,308294","6333,308294","-37620,913237","-37620,913237"
"00:03:47","98,967648","98,967648","-35494,424403","-35494,424403"
"00:03:48","-6052,937824","-6052,937824","-28478,525579","-28478,525579"
"00:03:49","-13179,921545","-13179,921545","-24939,494208","-24939,494208"
"00:03:50","-17021,896318","-17021,896318","-20782,826468","-20782,826468"
"00:03:51","-19906,127825","-19906,127825","-16397,375613","-16397,375613"
"00:03:52","-33425,740898","-33425,740898","-38961,596787","-38961,596787"
"00:03:53","-4899,971653","-4899,971653","-111427,627504","-111427,627504"
"00:03:54","29775,403440","29775,403440","-123276,121914","-123276,121914"
"00:03:55","-54688,517004","-54688,517004","-111808,173358","-111808,173358"
"00:03:56","-56557,357311","-56557,357311","",""
"00:03:57","-8537,695743","-8537,695743","",""
"00:03:58","142247,214913","142247,214913","",""
"00:03:59","-14098,823071","-14098,823071","-95903,635025","-95903,635025"
"00:04:00","-444,623554","-444,623554","-63767,805696","-63767,805696"
"00:04:01","-654,345436","-654,345436","-69142,878056","-69142,878056"
"00:04:02","-1228,314824","-1228,314824","-65675,161779","-65675,161779"
"00:04:03","-114949,792624","-114949,792624","-74036,367238","-74036,367238"
"00:04:04","-6165,760104","-6165,760104","30469,359830","30469,359830"
"00:04:05","-980,021083","-980,021083","33197,000623","33197,000623"
"00:04:06","210,082624","210,082624","10237,611830","10237,611830"
"00:04:07","986,704719","986,704719","-11295,667849","-11295,667849"
"00:04:08","8,732986","8,732986","-25854,066014","-25854,066014"
"00:04:09","3894,651541","3894,651541","-34453,526139","-34453,526139"
"00:04:10","773,702457","773,702457","-86985,960603","-86985,960603"
"00:04:11","-462,193682","-462,193682","59232,562780","59232,562780"
"00:04:12","5,322361","5,322361","87284,676731","87284,676731"
"00:04:13","-10,737705","-10,737705","89905,992150","89905,992150"
"00:04:14","-54,681586","-54,681586","82349,807024","82349,807024"
"00:04:15","-19,954205","-19,954205","69324,165583","69324,165583"
"00:04:16","-541,712972","-541,712972","56642,021984","56642,021984"
"00:04:17","-1819,708152","-1819,708152","48240,926117","48240,926117"
"00:04:18","-3368,969075","-3368,969075","41699,808091","41699,808091"
"00:04:19","-980,619923","-980,619923","30979,938805","30979,938805"
"00:04:20","-1726,661692","-1726,661692","27346,901596","27346,901596"
"00:04:21","115,886876","115,886876","11361,362413","11361,362413"
"00:04:22","565,486902","565,486902","2844,908042","2844,908042"
"00:04:23","-1451,524207","-1451,524207","8736,251853","8736,251853"
"00:04:24","40042,754263","40042,754263","107476,375997","107476,375997"
"00:04:25","13330,234215","13330,234215","44802,501798","44802,501798"
"00:04:26","-46489,339322","-46489,339322","38302,924484","38302,924484"
