"","Single-ended 7 Last (µV)","Single-ended 8 Last (µV)"
"00:02:11","3919,821233","-7730,664220"
"00:02:12","3928,370774","-7739,314809"
"00:02:13","3927,626181","-7749,794982"
"00:02:14","3931,597341","-7760,651410"
"00:02:15","3927,925136","-7763,030007"
"00:02:16","3926,037811","-7776,312996"
"00:02:17","3935,123794","-7761,709858"
"00:02:18","3942,118492","-7706,048433"
"00:02:19","3948,527388","-7656,757254"
"00:02:20","3926,491830","-7622,432429"
"00:02:21","3908,473067","-7607,690059"
"00:02:22","3898,062278","-7577,298675"
"00:02:23","3876,569215","-7564,737927"
"00:02:24","3865,514882","-7546,359207"
"00:02:25","3851,999994","-7530,774921"
"00:02:26","3843,062557","-7535,626646"
"00:02:27","3837,216413","-7522,825617"
"00:02:28","3829,975147","-7521,928288"
"00:02:29","3827,277105","-7523,871027"
"00:02:30","3820,356913","-7536,226418"
"00:02:31","3822,841914","-7556,327619"
"00:02:32","3825,579537","-7566,013373"
"00:02:33","3838,727251","-7580,530364"
"00:02:34","3838,798497","-7604,557090"
"00:02:35","3845,286556","-7625,596132"
"00:02:36","3858,412616","-7653,389126"
"00:02:37","3867,866704","-7666,933350"
"00:02:38","3878,475400","-7690,987550"
"00:02:39","3887,160681","-7714,196108"
"00:02:40","3896,366106","-7736,816537"
"00:02:41","3906,463273","-7790,153380"
"00:02:42","3929,069266","-7828,064263"
"00:02:43","3937,981557","-7902,722806"
"00:02:44","3962,482791","-7945,478894"
"00:02:45","4009,312019","-7970,987819"
"00:02:46","4034,218378","-8050,225675"
"00:02:47","4065,842833","-8142,251521"
"00:02:48","4098,270088","-8225,105703"
"00:02:49","4132,504109","-8285,654709"
"00:02:50","4170,228727","-8328,030817"
"00:02:51","4208,761267","-8382,255211"
"00:02:52","4236,048553","-8448,334411"
"00:02:53","4272,405058","-8522,612974"
"00:02:54","4306,258634","-8577,785455"
"00:02:55","4341,014195","-8629,407734"
"00:02:56","4373,037722","-8662,247099"
"00:02:57","4394,464195","-8687,045425"
"00:02:58","4422,115162","-8715,559728"
"00:02:59","4438,417964","-8733,243681"
"00:03:00","4454,353824","-8749,254979"
"00:03:01","4469,635896","-8763,923310"
"00:03:02","4469,169769","-8785,688318"
"00:03:03","4492,750391","-8789,068088"
"00:03:04","4505,582154","-8789,318614"
"00:03:05","4507,863428","-8773,314767"
"00:03:06","4508,521408","-8761,186153"
"00:03:07","4503,320437","-8754,707873"
"00:03:08","4511,059728","-8749,250323"
"00:03:09","4513,396882","-8751,481771"
"00:03:10","4509,766586","-8762,083016"
"00:03:11","4515,136126","-8759,576827"
"00:03:12","4515,631590","-8752,375841"
"00:03:13","4515,430890","-8756,496012"
"00:03:14","4514,957312","-8759,232238"
"00:03:15","4511,866253","-8758,927695"
"00:03:16","4514,685366","-8758,685552"
"00:03:17","4510,701168","-8746,080101"
"00:03:18","4506,506026","-8744,066581"
"00:03:19","4508,705810","-8739,150129"
"00:03:20","4503,771197","-8736,709133"
"00:03:21","4503,421951","-8744,356222"
"00:03:22","4508,223850","-8738,380857"
"00:03:23","4501,456860","-8745,669387"
"00:03:24","4509,028047","-8747,456595"
"00:03:25","4504,569340","-8751,696907"
"00:03:26","4510,610830","-8758,705109"
"00:03:27","4514,222033","-8761,241101"
"00:03:28","4511,781037","-8767,362684"
"00:03:29","4517,250229","-8772,136644"
"00:03:30","4529,083148","-8760,300465"
"00:03:31","4516,870249","-8780,501783"
"00:03:32","4528,635647","-8767,872117"
"00:03:33","4518,702161","-8771,361783"
"00:03:34","4517,097957","-8767,918684"
"00:03:35","4508,637358","-8750,963956"
